rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.69369917798416,88.40019970095298,002459,晶澳科技,bottom_area,2024-07-01,11.25,2024-07-01,11.08,1.5342960288808658,2.5270758122743624,31.941031941031945,False,0.4464,1.1575,4,4,4,100.0,18.701046488179387,26.683937823834192,6.465703971119134,1.5342960288808658,历史4/4次成功; 当前距低点1.53%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
2,88.84805369894538,84.64944140524521,688156,路德科技,bottom_area,2024-07-01,13.0,2024-07-01,12.81,1.483216237314594,3.2786885245901636,28.235294117647065,False,-1.7385,1.3207,5,5,5,100.0,20.38265820603483,44.22535211267606,6.516783762685406,1.483216237314594,历史5/5次成功; 当前距低点1.48%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
3,87.96903611698764,86.4780355048353,002317,众生药业,bottom_area,2024-07-01,11.6,2024-06-25,11.25,3.111111111111108,6.222222222222216,27.745664739884397,False,1.4873,1.3326,4,4,4,100.0,27.695531388003374,58.31999999999999,4.888888888888893,3.111111111111108,历史4/4次成功; 当前距低点3.11%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
4,87.680442808475,85.52877550029159,688185,康希诺,bottom_area,2024-07-01,41.34,2024-07-01,40.25,2.7080745341614993,4.993788819875771,27.136133236784943,False,0.6084,1.1322,8,8,8,100.0,17.651534613869938,36.75601999091322,5.291925465838501,2.7080745341614993,历史8/8次成功; 当前距低点2.71%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
5,87.29896516241047,84.12197288688546,603060,国检集团,bottom_area,2024-07-01,5.91,2024-06-26,5.79,2.072538860103629,5.354058721934363,27.71535580524344,False,1.1986,0.1976,3,3,3,100.0,18.964309074848,36.2098138747885,5.927461139896371,2.072538860103629,历史3/3次成功; 当前距低点2.07%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
6,86.63543236508254,83.68399677973282,002219,新里程,bottom_area,2024-07-01,1.86,2024-07-01,1.82,2.1978021978021998,3.8461538461538374,30.26819923371647,False,0.0,0.5988,2,2,2,100.0,34.81175156302061,45.685279187817265,5.8021978021978,2.1978021978021998,历史2/2次成功; 当前距低点2.20%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,86.18772236666081,82.98867151317089,601012,隆基绿能,bottom_area,2024-07-01,14.05,2024-07-01,13.77,2.0334059549745906,3.0501089324618733,30.664652567975832,False,0.214,1.1152,3,3,3,100.0,12.391597260822351,14.403553299492398,5.96659404502541,2.0334059549745906,历史3/3次成功; 当前距低点2.03%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
8,85.9179355035871,81.94983808073067,600416,湘电股份,bottom_area,2024-07-01,9.88,2024-06-26,9.73,1.5416238437821206,4.933196300102779,27.496274217585686,False,-0.6036,0.8618,3,3,3,100.0,23.251292712655438,34.41084462982274,6.458376156217879,1.5416238437821206,历史3/3次成功; 当前距低点1.54%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
9,85.177996058252,82.2295633688259,300769,德方纳米,confirmed_rebound,2024-07-01,27.8,2024-06-26,27.21,2.168320470415288,10.694597574421168,27.323717948717942,True,-1.4184,2.7244,6,6,6,100.0,16.792118502004005,41.300000000000004,5.831679529584712,2.168320470415288,历史6/6次成功; 当前距低点2.17%; 最新日涨幅-1.42%; 状态confirmed_rebound; 底部已确认
10,85.04483958947532,82.27837817826413,301332,德尔玛,bottom_area,2024-07-01,8.97,2024-06-24,8.77,2.280501710376295,4.332953249714946,30.507131537242472,False,1.4706,0.7011,1,1,1,100.0,44.935064935064936,44.935064935064936,5.719498289623705,2.280501710376295,历史1/1次成功; 当前距低点2.28%; 最新日涨幅1.47%; 状态bottom_area; 底部未确认
11,84.67995398307231,82.83121690656938,002810,山东赫达,bottom_area,2024-07-01,11.9,2024-07-01,11.57,2.852203975799482,3.0250648228176287,31.335311572700302,False,1.0187,0.9269,3,3,3,100.0,21.58194608275378,46.13526570048308,5.1477960242005185,2.852203975799482,历史3/3次成功; 当前距低点2.85%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
12,84.59178648544213,80.75248256537336,600933,爱柯迪,bottom_area,2024-07-01,14.74,2024-07-01,14.51,1.5851137146795344,3.376981392143351,27.666999002991023,False,-0.3381,0.7227,3,3,3,100.0,17.34699911205744,24.722838137472287,6.414886285320466,1.5851137146795344,历史3/3次成功; 当前距低点1.59%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
13,84.26152598490758,83.81052762994823,601388,怡球资源,bottom_area,2024-07-01,2.23,2024-06-26,2.15,3.720930232558143,4.1860465116279215,27.609427609427616,False,1.8265,0.8923,4,4,4,100.0,20.829293334305355,35.632183908045974,4.279069767441857,3.720930232558143,历史4/4次成功; 当前距低点3.72%; 最新日涨幅1.83%; 状态bottom_area; 底部未确认
14,84.20965292375278,77.97190085532665,000506,招金黄金,bottom_area,2024-07-01,0.96,2024-07-01,0.96,0.0,7.291666666666674,27.272727272727277,False,-4.9505,9.0381,4,4,4,100.0,28.61237018992825,67.59259259259258,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-4.95%; 状态bottom_area; 底部未确认
15,83.69609190174388,82.06429323850428,000717,中南股份,bottom_area,2024-07-01,1.73,2024-06-24,1.68,2.976190476190479,5.357142857142862,29.411764705882355,False,2.3669,0.4981,2,2,2,100.0,35.64520174311065,56.020942408376975,5.023809523809521,2.976190476190479,历史2/2次成功; 当前距低点2.98%; 最新日涨幅2.37%; 状态bottom_area; 底部未确认
16,83.53593234029073,84.46558761673353,001212,中旗新材,bottom_area,2024-07-01,20.57,2024-06-25,19.67,4.575495678698518,6.659888154550068,31.103327495621713,False,1.33,1.4396,4,4,4,100.0,34.82643959229107,82.06521739130437,3.4245043213014825,4.575495678698518,历史4/4次成功; 当前距低点4.58%; 最新日涨幅1.33%; 状态bottom_area; 底部未确认
17,83.43221083787247,81.58340069289284,603305,旭升集团,bottom_area,2024-07-01,10.52,2024-07-01,10.23,2.834799608993149,3.910068426197462,30.170648464163826,False,-0.3788,1.1564,4,4,4,100.0,20.466364523640955,32.41061130334487,5.1652003910068505,2.834799608993149,历史4/4次成功; 当前距低点2.83%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
18,83.37151849595689,82.79053230434742,603326,我乐家居,bottom_area,2024-07-01,5.7,2024-06-27,5.5,3.63636363636364,3.818181818181818,32.34932349323494,False,2.518,1.23,4,4,4,100.0,14.30882470568014,20.141843971631218,4.363636363636361,3.63636363636364,历史4/4次成功; 当前距低点3.64%; 最新日涨幅2.52%; 状态bottom_area; 底部未确认
19,83.3179397079583,82.80722625485019,603368,柳药集团,bottom_area,2024-07-01,18.03,2024-06-28,17.39,3.6802760207015552,4.945370902817707,27.842323651452283,False,3.0286,2.5096,3,3,3,100.0,31.603524634675978,42.85714285714285,4.319723979298445,3.6802760207015552,历史3/3次成功; 当前距低点3.68%; 最新日涨幅3.03%; 状态bottom_area; 底部未确认
20,83.21161597028917,83.2545860792333,002838,道恩股份,bottom_area,2024-07-01,9.3,2024-06-26,8.94,4.026845637583906,5.369127516778528,28.934817170111295,False,2.649,0.6841,5,5,5,100.0,21.59029103722908,38.59649122807017,3.973154362416094,4.026845637583906,历史5/5次成功; 当前距低点4.03%; 最新日涨幅2.65%; 状态bottom_area; 底部未确认
21,82.96923040684436,81.0939332015583,601908,京运通,bottom_area,2024-07-01,2.56,2024-06-24,2.49,2.811244979919672,6.827309236947787,28.857142857142854,False,1.1858,0.6661,2,2,2,100.0,28.406299762231964,40.33898305084744,5.188755020080328,2.811244979919672,历史2/2次成功; 当前距低点2.81%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
22,82.71803286872297,78.72319078232859,002068,黑猫股份,bottom_area,2024-07-01,7.11,2024-07-01,7.01,1.4265335235378107,2.995720399429386,28.469387755102048,False,0.1408,1.528,3,4,3,75.0,19.51982374190758,32.77777777777777,6.5734664764621895,1.4265335235378107,历史3/4次成功; 当前距低点1.43%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
23,82.6493196269206,80.05900673887677,002612,朗姿股份,bottom_area,2024-07-01,13.97,2024-07-01,13.65,2.344322344322346,2.344322344322346,28.38405036726127,False,1.0854,1.2368,2,2,2,100.0,17.118611203934037,20.77294685990338,5.655677655677654,2.344322344322346,历史2/2次成功; 当前距低点2.34%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
