rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.0002091319649,74.72554504427747,002116,中国海诚,bottom_area,2022-12-26,10.48,2022-12-26,10.4,0.7692307692307698,2.2115384615384657,27.627000695894218,False,-1.2253,1.6589,3,3,3,100.0,14.781673108191493,18.51179673321235,9.230769230769232,0.7692307692307698,历史3/3次成功; 当前距低点0.77%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
2,80.80621552749537,77.49506284241056,002795,永和智控,bottom_area,2022-12-26,8.8,2022-12-23,8.56,2.803738317757012,2.9205607476635516,30.40650406504065,False,1.9699,2.6431,1,1,1,100.0,25.632183908045985,25.632183908045985,7.196261682242988,2.803738317757012,历史1/1次成功; 当前距低点2.80%; 最新日涨幅1.97%; 状态bottom_area; 底部未确认
3,80.09313078767742,76.24068621901353,600158,中体产业,bottom_area,2022-12-26,8.49,2022-12-23,8.29,2.4125452352231735,3.1363088057901276,29.626485568760614,False,1.0714,1.6541,1,1,1,100.0,14.092953523238386,14.092953523238386,7.587454764776827,2.4125452352231735,历史1/1次成功; 当前距低点2.41%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
4,79.35004584542897,74.54158844966203,002423,中粮资本,bottom_area,2022-12-26,7.1,2022-12-23,6.98,1.7191977077363783,2.8653295128939726,28.41025641025641,False,-0.5602,0.8367,1,1,1,100.0,18.932038834951456,18.932038834951456,8.280802292263623,1.7191977077363783,历史1/1次成功; 当前距低点1.72%; 最新日涨幅-0.56%; 状态bottom_area; 底部未确认
5,78.27184452387324,77.77785007072136,002388,新亚制程,bottom_area,2022-12-26,7.4,2022-12-23,7.07,4.6676096181046685,6.364922206506354,32.666666666666664,False,3.2078,3.4699,1,1,1,100.0,50.505050505050505,50.505050505050505,5.332390381895332,4.6676096181046685,历史1/1次成功; 当前距低点4.67%; 最新日涨幅3.21%; 状态bottom_area; 底部未确认
6,78.18962932990873,76.8766159290274,688167,炬光科技,bottom_area,2022-12-26,96.49,2022-12-26,92.68,4.110919292188161,7.682347863616734,27.423649177760375,False,2.6489,3.6676,2,2,2,100.0,21.66404255492686,23.41569581359622,5.88908070781184,4.110919292188161,历史2/2次成功; 当前距低点4.11%; 最新日涨幅2.65%; 状态bottom_area; 底部未确认
7,77.98116630678976,74.93455137793075,002729,好利科技,bottom_area,2022-12-26,28.31,2022-12-23,27.51,2.908033442384577,6.506724827335511,27.605263157894733,False,1.6152,0.9772,1,1,1,100.0,13.144449605202036,13.144449605202036,7.0919665576154225,2.908033442384577,历史1/1次成功; 当前距低点2.91%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
8,77.35602717937353,76.4010144981467,002534,西子洁能,bottom_area,2022-12-26,14.4,2022-12-23,13.8,4.347826086956519,4.347826086956519,29.375639713408386,False,3.4483,0.7011,2,2,2,100.0,22.01106438928788,26.532951289398277,5.652173913043482,4.347826086956519,历史2/2次成功; 当前距低点4.35%; 最新日涨幅3.45%; 状态bottom_area; 底部未确认
9,76.94813080271396,75.89927152287524,300542,新晨科技,bottom_area,2022-12-26,11.94,2022-12-23,11.45,4.279475982532753,4.716157205240183,27.89672544080605,False,1.7036,1.6304,2,2,2,100.0,18.47568152177371,21.587301587301592,5.720524017467248,4.279475982532753,历史2/2次成功; 当前距低点4.28%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
10,76.83045385788654,74.16108532934132,000059,华锦股份,bottom_area,2022-12-26,6.89,2022-12-23,6.68,3.143712574850299,4.19161676646707,27.233115468409586,False,2.2255,0.8191,1,1,1,100.0,11.874999999999996,11.874999999999996,6.856287425149701,3.143712574850299,历史1/1次成功; 当前距低点3.14%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
11,75.19341968119052,74.93678684951412,002395,双象股份,bottom_area,2022-12-26,10.22,2022-12-20,9.75,4.8205128205128265,5.230769230769228,28.62371888726208,False,1.996,1.0404,1,1,1,100.0,36.59976387249114,36.59976387249114,5.179487179487174,4.8205128205128265,历史1/1次成功; 当前距低点4.82%; 最新日涨幅2.00%; 状态bottom_area; 底部未确认
12,75.11191436156702,69.42902046430363,000919,金陵药业,bottom_area,2022-12-26,8.1,2022-12-26,8.03,0.8717310087173138,2.9887920298879234,27.982062780269068,False,-0.978,2.6417,1,1,1,100.0,20.8955223880597,20.8955223880597,9.128268991282686,0.8717310087173138,历史1/1次成功; 当前距低点0.87%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
13,74.61267936638828,72.88146427649733,002362,汉王科技,bottom_area,2022-12-26,16.25,2022-12-23,15.66,3.767560664112387,4.278416347381853,32.933618843683085,False,1.7533,5.8006,1,1,1,100.0,12.642487046632112,12.642487046632112,6.232439335887614,3.767560664112387,历史1/1次成功; 当前距低点3.77%; 最新日涨幅1.75%; 状态bottom_area; 底部未确认
14,74.4647071068565,73.80827773868168,603289,泰瑞机器,bottom_area,2022-12-26,9.22,2022-12-23,8.82,4.535147392290254,4.535147392290254,29.888712241653415,False,3.3632,1.5563,1,1,1,100.0,27.034482758620705,27.034482758620705,5.464852607709747,4.535147392290254,历史1/1次成功; 当前距低点4.54%; 最新日涨幅3.36%; 状态bottom_area; 底部未确认
15,73.61546863831208,72.13737542252754,603318,水发燃气,bottom_area,2022-12-26,8.98,2022-12-23,8.64,3.9351851851851833,4.398148148148136,29.92700729927007,False,2.9817,3.3105,1,1,1,100.0,10.696761530912658,10.696761530912658,6.0648148148148175,3.9351851851851833,历史1/1次成功; 当前距低点3.94%; 最新日涨幅2.98%; 状态bottom_area; 底部未确认
16,71.76762723351759,70.32315168538535,002316,亚联发展,bottom_area,2022-12-26,3.7,2022-12-23,3.56,3.9325842696629247,7.865168539325837,27.64227642276423,True,-1.0695,3.0192,3,4,3,75.0,18.35722483987543,24.890829694323134,6.067415730337076,3.9325842696629247,历史3/4次成功; 当前距低点3.93%; 最新日涨幅-1.07%; 状态bottom_area; 底部已确认
17,67.87785238408,65.9575687372979,605289,罗曼股份,bottom_area,2022-12-26,21.33,2022-12-23,20.61,3.493449781659383,3.978651140223194,28.36287799791449,False,1.6198,2.9592,2,3,2,66.66666666666666,10.946062219433427,11.881750994883456,6.506550218340617,3.493449781659383,历史2/3次成功; 当前距低点3.49%; 最新日涨幅1.62%; 状态bottom_area; 底部未确认
18,59.70287521435053,57.76894769520786,688115,思林杰,bottom_area,2022-12-26,39.46,2022-12-23,38.21,3.27139492279508,4.108872023030621,31.375718390804597,False,2.175,1.147,1,2,1,50.0,16.977032898820603,16.977032898820603,6.7286050772049215,3.27139492279508,历史1/2次成功; 当前距低点3.27%; 最新日涨幅2.17%; 状态bottom_area; 底部未确认
19,57.90662302977806,54.309386329729634,300482,万孚生物,bottom_area,2022-12-26,34.83,2022-12-23,34.27,1.6340822877151888,7.295010213014297,32.33958538993089,False,-3.6248,5.1767,1,2,1,50.0,10.99512874043146,10.99512874043146,8.365917712284812,1.6340822877151888,历史1/2次成功; 当前距低点1.63%; 最新日涨幅-3.62%; 状态bottom_area; 底部未确认
20,56.70769820082378,55.72432771179214,002786,银宝山新,bottom_area,2022-12-26,7.14,2022-12-22,6.86,4.081632653061215,5.685131195335272,31.05527638190954,False,0.8475,3.5288,1,2,1,50.0,15.916398713826371,15.916398713826371,5.918367346938785,4.081632653061215,历史1/2次成功; 当前距低点4.08%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
21,53.929225093533546,52.27515644032887,688298,东方生物,bottom_area,2022-12-26,85.71,2022-12-23,82.92,3.3646888567293676,7.16353111432706,30.307614725163894,False,-1.8887,2.891,2,6,2,33.33333333333333,13.83501989429302,15.470039788586028,6.635311143270633,3.3646888567293676,历史2/6次成功; 当前距低点3.36%; 最新日涨幅-1.89%; 状态bottom_area; 底部未确认
