rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.00144981553042,75.15668089647815,001212,中旗新材,confirmed_rebound,2022-06-15,47.05,2022-06-15,46.85,0.42689434364993756,16.35005336179295,27.60006181424817,False,-5.0454,49.7541,2,2,2,100.0,53.58526244459911,82.06521739130437,9.573105656350062,0.42689434364993756,历史2/2次成功; 当前距低点0.43%; 最新日涨幅-5.05%; 状态confirmed_rebound; 底部未确认
2,79.83430762865154,77.56452469545813,603226,菲林格尔,bottom_area,2022-06-15,4.75,2022-06-14,4.59,3.4858387799564303,4.793028322440082,29.493087557603687,False,0.0,0.5578,2,2,2,100.0,17.70019953633753,17.891373801916934,6.5141612200435715,3.4858387799564303,历史2/2次成功; 当前距低点3.49%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
3,79.02490670092313,78.23005586592178,002663,普邦股份,bottom_area,2022-06-15,1.87,2022-06-14,1.79,4.469273743016763,6.145251396648037,31.939163498098853,False,1.0811,3.0959,1,1,1,100.0,66.45569620253163,66.45569620253163,5.530726256983237,4.469273743016763,历史1/1次成功; 当前距低点4.47%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
4,78.2036795247956,73.99771446451622,002802,洪汇新材,bottom_area,2022-06-15,14.11,2022-06-08,13.82,2.09840810419681,6.078147612156294,30.726817042606513,False,-1.1905,1.1095,1,1,1,100.0,20.65637065637066,20.65637065637066,7.9015918958031905,2.09840810419681,历史1/1次成功; 当前距低点2.10%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
5,78.10376549738218,77.6765445026178,000151,中成股份,bottom_area,2022-06-15,16.0,2022-06-15,15.28,4.712041884816758,6.020942408376963,32.08888888888889,False,1.7812,23.9723,1,1,1,100.0,191.97080291970806,191.97080291970806,5.287958115183243,4.712041884816758,历史1/1次成功; 当前距低点4.71%; 最新日涨幅1.78%; 状态bottom_area; 底部未确认
6,77.80244655114849,77.37749008386865,603327,福蓉科技,bottom_area,2022-06-15,13.11,2022-06-10,12.52,4.712460063897763,8.226837060702884,32.03040173724214,True,-0.0762,0.3491,2,2,2,100.0,45.01020983632018,52.609776304888165,5.287539936102237,4.712460063897763,历史2/2次成功; 当前距低点4.71%; 最新日涨幅-0.08%; 状态bottom_area; 底部已确认
7,76.64204589045825,72.8832852666439,603203,快克智能,bottom_area,2022-06-15,23.85,2022-06-14,23.3,2.3605150214592303,5.536480686695275,30.009011715229793,False,-1.8519,0.5786,1,1,1,100.0,17.877739331026522,17.877739331026522,7.63948497854077,2.3605150214592303,历史1/1次成功; 当前距低点2.36%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
8,75.00322853947753,72.45159151193634,600960,渤海汽车,bottom_area,2022-06-15,3.89,2022-06-14,3.77,3.183023872679048,7.161803713527852,32.072072072072075,True,-2.75,6.1552,1,1,1,100.0,16.445623342175058,16.445623342175058,6.816976127320953,3.183023872679048,历史1/1次成功; 当前距低点3.18%; 最新日涨幅-2.75%; 状态bottom_area; 底部已确认
9,71.36465326788304,69.20896421845575,603183,建研院,bottom_area,2022-06-15,4.88,2022-06-14,4.72,3.3898305084745797,4.872881355932213,27.38461538461539,False,-0.4082,3.1883,1,1,1,100.0,10.74074074074074,10.74074074074074,6.610169491525421,3.3898305084745797,历史1/1次成功; 当前距低点3.39%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
10,70.50303249019395,68.87760234632778,002723,小崧股份,bottom_area,2022-06-15,10.17,2022-06-14,9.8,3.7755102040816246,8.06122448979591,30.985915492957737,False,-1.07,3.9911,1,1,1,100.0,13.686911890504701,13.686911890504701,6.224489795918376,3.7755102040816246,历史1/1次成功; 当前距低点3.78%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
11,63.01660245183891,57.48000000000002,002339,积成电子,bottom_area,2022-06-15,5.71,2022-06-15,5.7,0.1754385964912243,4.561403508771926,28.211586901763226,False,-7.7544,17.2659,1,2,1,50.0,82.94930875576038,82.94930875576038,9.824561403508776,0.1754385964912243,历史1/2次成功; 当前距低点0.18%; 最新日涨幅-7.75%; 状态bottom_area; 底部未确认
12,60.848473117209174,58.211486199887,605266,健之佳,bottom_area,2022-06-15,44.15,2022-06-14,43.0,2.6744186046511595,3.9069767441860455,29.91035044824776,False,1.3079,0.6216,1,2,1,50.0,12.038497948879776,12.038497948879776,7.3255813953488405,2.6744186046511595,历史1/2次成功; 当前距低点2.67%; 最新日涨幅1.31%; 状态bottom_area; 底部未确认
