rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.6668581024929,82.47818959429152,002095,生意宝,bottom_area,2023-01-20,20.45,2023-01-19,20.19,1.2877662209014265,2.377414561664192,32.699999999999996,False,0.9877,3.9878,1,1,1,100.0,33.84030418250951,33.84030418250951,18.712233779098575,1.2877662209014265,历史1/1次成功; 当前距低点1.29%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
2,89.64748422061399,77.60233766233766,002363,隆基机械,bottom_area,2023-01-20,7.86,2023-01-20,7.7,2.0779220779220795,5.714285714285719,27.83505154639175,False,-8.0702,18.1828,1,1,1,100.0,54.96828752642705,54.96828752642705,17.92207792207792,2.0779220779220795,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-8.07%; 状态bottom_area; 底部未确认
3,82.49439911768478,75.02320825419638,002395,双象股份,bottom_area,2023-01-20,9.64,2023-01-17,9.2,4.782608695652188,4.891304347826099,32.65007320644217,False,2.0106,0.7769,1,1,1,100.0,36.59976387249114,36.59976387249114,15.217391304347814,4.782608695652188,历史1/1次成功; 当前距低点4.78%; 最新日涨幅2.01%; 状态bottom_area; 底部未确认
4,74.60053850691092,63.80516679399033,300434,金石亚药,bottom_area,2023-01-20,12.14,2023-01-19,11.97,1.4202172096908934,2.506265664160392,31.127733026467197,False,1.0824,1.996,1,2,1,50.0,26.7379679144385,26.7379679144385,18.579782790309107,1.4202172096908934,历史1/2次成功; 当前距低点1.42%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
5,74.58727184046981,63.67712028649674,000419,通程控股,bottom_area,2023-01-20,6.14,2023-01-19,6.06,1.3201320132013215,2.31023102310232,29.039812646370024,False,1.1532,2.586,1,2,1,50.0,24.82269503546099,24.82269503546099,18.67986798679868,1.3201320132013215,历史1/2次成功; 当前距低点1.32%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
6,73.3074251488254,62.958741348261015,002838,道恩股份,bottom_area,2023-01-20,17.29,2023-01-13,17.01,1.6460905349794095,2.5867136978247953,32.17703349282296,False,0.4648,2.4276,1,2,1,50.0,24.95606326889279,24.95606326889279,18.35390946502059,1.6460905349794095,历史1/2次成功; 当前距低点1.65%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
7,69.67993701420531,59.64373209446381,000715,中兴商业,bottom_area,2023-01-20,6.24,2023-01-19,6.15,1.4634146341463392,2.7642276422764214,31.05381165919282,False,1.2987,2.8837,1,3,1,33.33333333333333,24.33862433862435,24.33862433862435,18.53658536585366,1.4634146341463392,历史1/3次成功; 当前距低点1.46%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
8,65.21519252575244,56.966307810535156,000679,大连友谊,bottom_area,2023-01-20,5.58,2023-01-18,5.44,2.5735294117647,3.308823529411759,28.515111695137975,False,2.3853,2.2416,1,4,1,25.0,24.94061757719715,24.94061757719715,17.4264705882353,2.5735294117647,历史1/4次成功; 当前距低点2.57%; 最新日涨幅2.39%; 状态bottom_area; 底部未确认
