rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.02219376973972,81.24835311873792,002779,中坚科技,bottom_area,2025-06-10,96.42,2025-06-10,92.88,3.8113695090439346,6.66451335055986,31.851199647809818,False,-1.9325,4.7894,4,4,4,100.0,30.635890319129533,38.253119429590015,11.188630490956065,3.8113695090439346,历史4/4次成功; 当前距低点3.81%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
12,79.92490121142981,70.61878205128205,603577,汇金通,bottom_area,2025-06-10,9.44,2025-06-10,9.36,0.8547008547008554,3.6324786324786316,27.216174183514774,False,-2.3785,8.171,1,1,1,100.0,27.083333333333325,27.083333333333325,14.145299145299145,0.8547008547008554,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-2.38%; 状态bottom_area; 底部未确认
13,79.86831800270946,69.9367758552371,600770,综艺股份,bottom_area,2025-06-10,5.38,2025-06-10,5.36,0.373134328358201,7.835820895522386,29.006622516556284,False,-3.2374,8.412,1,1,1,100.0,27.72861356932153,27.72861356932153,14.626865671641799,0.373134328358201,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
14,79.72794711277535,72.46231875773812,688318,财富趋势,bottom_area,2025-06-10,99.0,2025-06-06,96.71,2.3679040430152067,6.503980974046124,30.906622847753095,False,-2.0384,1.1998,5,7,5,71.42857142857143,27.609815538164007,36.949152542372886,12.632095956984793,2.3679040430152067,历史5/7次成功; 当前距低点2.37%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
15,78.81169733088423,71.99034259857788,300817,双飞集团,bottom_area,2025-06-10,23.35,2025-06-10,22.75,2.6373626373626435,5.362637362637358,28.097345132743364,False,-2.3013,5.1371,1,1,1,100.0,16.470588235294116,16.470588235294116,12.362637362637356,2.6373626373626435,历史1/1次成功; 当前距低点2.64%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
16,74.07714884939332,66.00653088556882,300697,电工合金,bottom_area,2025-06-10,11.63,2025-06-10,11.48,1.3066202090592365,2.526132404181177,27.43362831858407,False,-0.7679,3.0076,2,4,2,50.0,26.320564313031607,31.64400494437578,13.693379790940764,1.3066202090592365,历史2/4次成功; 当前距低点1.31%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
17,73.35985900452188,64.6215499383726,688188,柏楚电子,bottom_area,2025-06-10,138.22,2025-06-10,137.27,0.6920667298025704,3.897428425730308,31.563465948748625,False,-0.9176,0.4473,2,3,2,66.66666666666666,31.735459223955836,34.07281509974057,14.307933270197429,0.6920667298025704,历史2/3次成功; 当前距低点0.69%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
18,69.27915938780582,62.12590706539631,688135,利扬芯片,bottom_area,2025-06-10,19.12,2025-05-30,18.81,1.648059542796397,5.901116427432234,27.290297642056444,False,-2.449,3.4049,2,5,2,40.0,31.309047435333802,40.41850220264317,13.351940457203604,1.648059542796397,历史2/5次成功; 当前距低点1.65%; 最新日涨幅-2.45%; 状态bottom_area; 底部未确认
19,69.20871532563113,63.160136488901216,000715,中兴商业,bottom_area,2025-06-10,5.55,2025-06-03,5.41,2.5878003696857608,6.099815157116452,28.815789473684205,False,-1.0695,2.3248,2,4,2,50.0,26.722157697767457,29.105691056910565,12.41219963031424,2.5878003696857608,历史2/4次成功; 当前距低点2.59%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
20,68.5429181818994,64.02624090790036,300394,天孚通信,bottom_area,2025-06-10,68.73,2025-06-09,66.19,3.837437679407775,11.028856322707353,28.497353354218426,False,-2.094,4.8799,2,3,2,66.66666666666666,27.252323388620475,33.2041656575442,11.162562320592224,3.837437679407775,历史2/3次成功; 当前距低点3.84%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
21,65.61030166819292,58.688552948998385,002136,安纳达,bottom_area,2025-06-10,10.73,2025-06-10,10.57,1.5137180700094621,3.689687795648066,29.297658862876247,False,-1.7399,7.2489,1,3,1,33.33333333333333,42.29299363057326,42.29299363057326,13.486281929990538,1.5137180700094621,历史1/3次成功; 当前距低点1.51%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
22,64.40785728327768,57.02006497310542,001311,多利科技,bottom_area,2025-06-10,19.99,2025-06-10,19.8,0.9595959595959481,3.6363636363636305,31.794695142955565,False,-2.4878,4.2908,1,2,1,50.0,46.9244288224956,46.9244288224956,14.04040404040405,0.9595959595959481,历史1/2次成功; 当前距低点0.96%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
23,61.36266398437918,55.69498520182198,300819,聚杰微纤,bottom_area,2025-06-10,21.84,2025-06-10,21.35,2.2950819672131075,7.119437939110068,31.12903225806451,False,-4.2525,4.1679,1,2,1,50.0,26.54716175842936,26.54716175842936,12.70491803278689,2.2950819672131075,历史1/2次成功; 当前距低点2.30%; 最新日涨幅-4.25%; 状态bottom_area; 底部未确认
24,60.42296479928733,55.132971576767844,002811,郑中设计,bottom_area,2025-06-10,10.74,2025-06-10,10.47,2.5787965616045803,4.393505253104098,29.01694915254237,False,-1.196,5.599,1,2,1,50.0,16.78832116788322,16.78832116788322,12.421203438395418,2.5787965616045803,历史1/2次成功; 当前距低点2.58%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
25,59.62895561336085,56.65597702513471,002042,华孚时尚,bottom_area,2025-06-10,4.85,2025-06-03,4.63,4.751619870410362,9.935205183585312,28.549382716049386,True,-2.6104,1.9396,1,2,1,50.0,42.41758241758243,42.41758241758243,10.248380129589638,4.751619870410362,历史1/2次成功; 当前距低点4.75%; 最新日涨幅-2.61%; 状态bottom_area; 底部已确认
