rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.42197815331666,77.88092764378479,002110,三钢闽光,bottom_area,2022-08-05,5.52,2022-08-03,5.39,2.4118738404452675,2.968460111317257,27.456258411843876,False,1.0989,0.2929,1,1,1,100.0,22.90322580645161,22.90322580645161,17.588126159554733,2.4118738404452675,历史1/1次成功; 当前距低点2.41%; 最新日涨幅1.10%; 状态bottom_area; 底部未确认
2,88.17360139355156,75.72160425018741,000715,中兴商业,bottom_area,2022-08-05,4.95,2022-08-03,4.87,1.6427104722792623,4.928131416837787,27.421758569299552,False,-0.4024,1.6315,1,1,1,100.0,24.33862433862435,24.33862433862435,18.357289527720738,1.6427104722792623,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
3,85.61868627306818,72.66134328358211,002666,德联集团,bottom_area,2022-08-05,6.09,2022-08-05,6.03,0.9950248756218841,6.633499170812594,32.247191011235955,False,-7.8669,30.9822,1,1,1,100.0,51.275510204081634,51.275510204081634,19.004975124378117,0.9950248756218841,历史1/1次成功; 当前距低点1.00%; 最新日涨幅-7.87%; 状态bottom_area; 底部未确认
4,84.24789673928761,71.98765161878704,002339,积成电子,bottom_area,2022-08-05,7.41,2022-08-05,7.31,1.3679890560875587,6.019151846785231,30.380952380952387,False,-3.7662,13.1061,2,3,2,66.66666666666666,60.421049941650985,82.94930875576038,18.63201094391244,1.3679890560875587,历史2/3次成功; 当前距低点1.37%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
5,83.87269978032707,74.45618257261411,000678,襄阳轴承,bottom_area,2022-08-05,7.48,2022-08-05,7.23,3.457814661134163,11.065006915629306,32.17636022514071,False,-6.8493,22.8002,1,1,1,100.0,121.62162162162164,121.62162162162164,16.54218533886584,3.457814661134163,历史1/1次成功; 当前距低点3.46%; 最新日涨幅-6.85%; 状态bottom_area; 底部未确认
6,70.91276601702987,61.83851145038168,601015,陕西黑猫,bottom_area,2022-08-05,5.37,2022-08-04,5.24,2.480916030534349,2.6717557251908333,28.021978021978022,False,0.9398,0.4896,1,4,1,25.0,65.6514382402707,65.6514382402707,17.51908396946565,2.480916030534349,历史1/4次成功; 当前距低点2.48%; 最新日涨幅0.94%; 状态bottom_area; 底部未确认
7,68.14781080151364,59.2473099415205,002494,华斯股份,bottom_area,2022-08-05,4.42,2022-08-05,4.32,2.3148148148148064,4.398148148148136,27.999999999999996,False,-1.7778,10.666,1,2,1,50.0,35.67251461988303,35.67251461988303,17.685185185185194,2.3148148148148064,历史1/2次成功; 当前距低点2.31%; 最新日涨幅-1.78%; 状态bottom_area; 底部未确认
8,68.07633525088079,59.87145968005502,002761,浙江建投,bottom_area,2022-08-05,24.81,2022-08-04,24.1,2.9460580912862957,3.5269709543568375,32.24627495080124,False,0.5267,2.6999,1,3,1,33.33333333333333,43.73730534867976,43.73730534867976,17.053941908713703,2.9460580912862957,历史1/3次成功; 当前距低点2.95%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
