rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.5647798886659,75.0582008798766,002299,圣农发展,bottom_area,2022-04-29,16.3,2022-04-28,15.82,3.0341340075853376,5.941845764854622,27.096774193548384,False,1.3682,1.0352,1,1,1,100.0,15.354980737479357,15.354980737479357,11.965865992414662,3.0341340075853376,历史1/1次成功; 当前距低点3.03%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
2,81.34227090337531,77.1485212179511,000012,南玻A,bottom_area,2022-04-29,5.62,2022-04-27,5.37,4.655493482309125,6.145251396648046,29.527559055118108,False,1.8116,3.2897,1,1,1,100.0,46.467991169977914,46.467991169977914,10.344506517690874,4.655493482309125,历史1/1次成功; 当前距低点4.66%; 最新日涨幅1.81%; 状态bottom_area; 底部未确认
3,80.77026487427348,75.21530146406299,000576,甘化科工,bottom_area,2022-04-29,9.6,2022-04-29,9.26,3.6717062634989186,5.939524838012967,27.258444619010213,False,1.5873,2.0151,1,1,1,100.0,24.015009380863045,24.015009380863045,11.32829373650108,3.6717062634989186,历史1/1次成功; 当前距低点3.67%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
4,78.79203222925881,74.6347459421313,002479,富春环保,bottom_area,2022-04-29,4.56,2022-04-28,4.36,4.587155963302736,5.73394495412844,28.990228013029306,False,3.8724,0.7545,1,1,1,100.0,32.11538461538461,32.11538461538461,10.412844036697264,4.587155963302736,历史1/1次成功; 当前距低点4.59%; 最新日涨幅3.87%; 状态bottom_area; 底部未确认
5,78.79000474376649,71.81624228722153,000715,中兴商业,bottom_area,2022-04-29,6.91,2022-04-29,6.74,2.522255192878337,10.830860534124621,27.056277056277057,False,-7.7437,19.9992,1,1,1,100.0,24.33862433862435,24.33862433862435,12.477744807121663,2.522255192878337,历史1/1次成功; 当前距低点2.52%; 最新日涨幅-7.74%; 状态bottom_area; 底部未确认
6,77.86169163241624,73.1167210868821,302132,中航成飞,bottom_area,2022-04-29,9.6,2022-04-28,9.22,4.121475054229924,13.882863340563983,32.255694342395294,False,2.6738,3.553,1,1,1,100.0,18.24561403508772,18.24561403508772,10.878524945770076,4.121475054229924,历史1/1次成功; 当前距低点4.12%; 最新日涨幅2.67%; 状态bottom_area; 底部未确认
7,76.7242110389611,72.91285714285718,002274,华昌化工,bottom_area,2022-04-29,8.36,2022-04-27,7.98,4.761904761904749,10.651629072681699,30.48780487804878,False,2.451,2.3757,1,1,1,100.0,24.999999999999993,24.999999999999993,10.23809523809525,4.761904761904749,历史1/1次成功; 当前距低点4.76%; 最新日涨幅2.45%; 状态bottom_area; 底部未确认
8,75.90140143030517,72.33809136315723,001234,泰慕士,bottom_area,2022-04-29,24.97,2022-04-29,23.8,4.915966386554614,6.55462184873949,27.791262135922327,False,0.7667,46.5169,1,1,1,100.0,23.79835873388042,23.79835873388042,10.084033613445385,4.915966386554614,历史1/1次成功; 当前距低点4.92%; 最新日涨幅0.77%; 状态bottom_area; 底部未确认
9,61.30252827343552,57.22304347826086,000605,渤海股份,bottom_area,2022-04-29,5.19,2022-04-27,5.0,3.8000000000000074,5.3999999999999915,27.849927849927848,False,1.5656,2.7136,1,2,1,50.0,20.521739130434778,20.521739130434778,11.199999999999992,3.8000000000000074,历史1/2次成功; 当前距低点3.80%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
