rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.94792898577269,83.96658563634382,002041,登海种业,bottom_area,2025-09-11,9.67,2025-06-23,9.53,1.4690451206715696,7.345225603357829,29.719764011799416,True,0.6243,0.9406,2,2,2,100.0,18.2043468358871,21.395106715252467,13.53095487932843,1.4690451206715696,历史2/2次成功; 当前距低点1.47%; 最新日涨幅0.62%; 状态bottom_area; 底部已确认
2,86.39043610467121,81.61225473779928,603221,爱丽家居,bottom_area,2025-09-11,12.46,2025-09-02,11.93,4.442581726739323,5.616093880972338,32.2159090909091,False,0.4029,2.0874,4,4,4,100.0,17.856672444972688,20.699708454810505,10.557418273260677,4.442581726739323,历史4/4次成功; 当前距低点4.44%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
3,83.9212665184108,78.89164179104478,301009,可靠股份,bottom_area,2025-09-11,13.96,2025-09-05,13.4,4.1791044776119435,5.522388059701494,27.762803234501348,False,1.8235,3.3182,1,1,1,100.0,53.96648044692738,53.96648044692738,10.820895522388057,4.1791044776119435,历史1/1次成功; 当前距低点4.18%; 最新日涨幅1.82%; 状态bottom_area; 底部未确认
4,82.6622913247096,76.7771356199402,300645,正元智慧,bottom_area,2025-09-11,18.76,2025-09-05,18.12,3.532008830022078,4.74613686534216,27.3164861612515,False,1.8458,4.7287,1,1,1,100.0,30.699547055863096,30.699547055863096,11.467991169977921,3.532008830022078,历史1/1次成功; 当前距低点3.53%; 最新日涨幅1.85%; 状态bottom_area; 底部未确认
5,80.64790885154801,75.333613710452,300510,金冠股份,bottom_area,2025-09-11,4.6,2025-09-03,4.43,3.8374717832957095,6.997742663656896,30.01579778830964,False,0.6565,4.0421,3,4,3,75.0,30.849727829925854,40.000000000000014,11.16252821670429,3.8374717832957095,历史3/4次成功; 当前距低点3.84%; 最新日涨幅0.66%; 状态bottom_area; 底部未确认
6,80.19276900614126,76.10287816033252,603109,神驰机电,bottom_area,2025-09-11,31.27,2025-09-04,29.87,4.68697689989956,8.77134248409776,27.79792119893642,True,0.7734,2.8792,4,5,4,80.0,25.37196501130927,33.71428571428571,10.31302310010044,4.68697689989956,历史4/5次成功; 当前距低点4.69%; 最新日涨幅0.77%; 状态bottom_area; 底部已确认
7,77.6053217945928,72.93306131544266,302132,中航成飞,bottom_area,2025-09-11,82.81,2025-09-09,79.5,4.163522012578619,5.031446540880504,27.595628415300546,False,2.7547,2.905,3,4,3,75.0,21.94027690388128,28.81165919282512,10.83647798742138,4.163522012578619,历史3/4次成功; 当前距低点4.16%; 最新日涨幅2.75%; 状态bottom_area; 底部未确认
8,75.38192944339366,71.67823857590516,000561,烽火电子,bottom_area,2025-09-11,11.37,2025-09-04,10.85,4.792626728110595,6.267281105990781,32.60869565217392,False,1.4273,2.9329,3,4,3,75.0,22.905524279555433,31.050955414012744,10.207373271889404,4.792626728110595,历史3/4次成功; 当前距低点4.79%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
9,69.98736286580552,62.29127087540021,601669,中国电建,bottom_area,2025-09-11,5.69,2025-09-10,5.62,1.2455516014234926,1.2455516014234926,28.31632653061224,False,0.53,1.3908,1,2,1,50.0,16.457680250783696,16.457680250783696,13.754448398576507,1.2455516014234926,历史1/2次成功; 当前距低点1.25%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
10,68.93626794394694,64.12876271241863,605169,洪通燃气,bottom_area,2025-09-11,14.9,2025-09-05,14.38,3.6161335187760746,4.033379694019472,31.064237775647165,False,0.8802,1.4675,2,4,2,50.0,22.06208137219406,26.09375,11.383866481223926,3.6161335187760746,历史2/4次成功; 当前距低点3.62%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
11,66.83640827465676,63.04699810953653,002256,兆新股份,bottom_area,2025-09-11,2.87,2025-09-11,2.75,4.363636363636368,5.4545454545454515,31.077694235588975,False,2.1352,8.2661,4,8,4,50.0,25.4090807453089,31.775700934579426,10.636363636363633,4.363636363636368,历史4/8次成功; 当前距低点4.36%; 最新日涨幅2.14%; 状态bottom_area; 底部未确认
12,63.466274177598194,57.311017465009996,603839,安正时尚,bottom_area,2025-09-11,8.58,2025-09-11,8.41,2.0214030915576684,4.875148632580263,27.374784110535405,False,-3.4871,9.6873,1,2,1,50.0,31.88073394495412,31.88073394495412,12.97859690844233,2.0214030915576684,历史1/2次成功; 当前距低点2.02%; 最新日涨幅-3.49%; 状态bottom_area; 底部未确认
13,62.30229256803475,58.238248218391256,300902,国安达,bottom_area,2025-09-11,23.05,2025-09-04,22.19,3.875619648490308,4.551599819738612,32.798304058146584,False,1.7211,4.7298,1,2,1,50.0,26.906779661016937,26.906779661016937,11.124380351509691,3.875619648490308,历史1/2次成功; 当前距低点3.88%; 最新日涨幅1.72%; 状态bottom_area; 底部未确认
