rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.37613182380964,85.9147378612216,300434,金石亚药,bottom_area,2025-01-20,8.64,2025-01-13,8.33,3.7214885954381813,7.563025210084043,27.439024390243905,True,0.232,3.5218,4,4,4,100.0,22.955547628067958,39.62264150943396,4.278511404561819,3.7214885954381813,历史4/4次成功; 当前距低点3.72%; 最新日涨幅0.23%; 状态bottom_area; 底部已确认
2,85.49714575955366,83.37376887436385,600325,华发股份,bottom_area,2025-01-20,5.34,2025-01-13,5.2,2.6923076923076863,5.1923076923076845,29.539295392953925,False,0.565,1.6869,3,3,3,100.0,22.53887318723322,32.553606237816766,5.307692307692314,2.6923076923076863,历史3/3次成功; 当前距低点2.69%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
3,83.96511904075011,83.60705883162112,600202,哈空调,bottom_area,2025-01-20,4.67,2025-01-20,4.5,3.7777777777777763,4.888888888888884,27.884615384615387,False,0.2146,9.4006,5,5,5,100.0,20.432215940615322,41.50485436893204,4.222222222222224,3.7777777777777763,历史5/5次成功; 当前距低点3.78%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
4,83.54765439201957,81.86360312767876,002571,德力股份,bottom_area,2025-01-20,4.2,2025-01-20,4.08,2.9411764705882377,4.166666666666665,27.142857142857135,False,0.2387,8.0036,3,3,3,100.0,17.47035204634371,28.291814946619215,5.058823529411763,2.9411764705882377,历史3/3次成功; 当前距低点2.94%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
5,81.88438974920936,81.06690832076468,002246,北化股份,bottom_area,2025-01-20,9.52,2025-01-06,9.2,3.478260869565221,6.521739130434799,27.38752959747435,False,-0.9365,1.8317,4,4,4,100.0,25.577113458996685,31.992687385740403,4.52173913043478,3.478260869565221,历史4/4次成功; 当前距低点3.48%; 最新日涨幅-0.94%; 状态bottom_area; 底部未确认
6,80.88033010108629,78.51545221192143,300715,凯伦股份,bottom_area,2025-01-20,8.34,2025-01-17,8.14,2.457002457002448,5.036855036855038,30.367835757057303,False,0.6031,2.7305,2,2,2,100.0,10.201171042403265,10.449735449735451,5.542997542997552,2.457002457002448,历史2/2次成功; 当前距低点2.46%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
7,80.77559189087401,81.38501522764979,300347,泰格医药,bottom_area,2025-01-20,50.64,2025-01-13,48.51,4.390847247990111,6.472892187177903,29.797395079594786,False,1.7685,2.2568,4,4,4,100.0,16.000790070253917,23.423271500843175,3.6091527520098894,4.390847247990111,历史4/4次成功; 当前距低点4.39%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
8,79.66876679613048,78.40763607368113,603269,海鸥股份,bottom_area,2025-01-20,11.39,2025-01-17,11.04,3.170289855072477,4.891304347826096,28.451069345430984,False,2.8907,11.2845,2,2,2,100.0,18.365037329281602,27.55511022044088,4.829710144927523,3.170289855072477,历史2/2次成功; 当前距低点3.17%; 最新日涨幅2.89%; 状态bottom_area; 底部未确认
9,78.99944733064149,80.32808056187588,600199,金种子酒,confirmed_rebound,2025-01-20,11.85,2025-01-13,11.3,4.867256637168132,8.407079646017692,27.93367346938775,True,0.2538,1.3173,4,4,4,100.0,17.179708035587232,23.70304114490161,3.132743362831868,4.867256637168132,历史4/4次成功; 当前距低点4.87%; 最新日涨幅0.25%; 状态confirmed_rebound; 底部已确认
10,78.56262996293421,78.15468539999415,300601,康泰生物,bottom_area,2025-01-20,15.02,2025-01-13,14.48,3.7292817679557952,6.21546961325967,28.775209050664035,False,-0.4639,1.1995,5,5,5,100.0,12.997031349104097,24.837758112094402,4.270718232044205,3.7292817679557952,历史5/5次成功; 当前距低点3.73%; 最新日涨幅-0.46%; 状态bottom_area; 底部未确认
11,77.76805486273823,76.35308445117406,300682,朗新科技,bottom_area,2025-01-20,10.49,2025-01-13,10.18,3.0451866404715178,7.26915520628684,29.256428075052128,True,-0.6629,1.3556,2,2,2,100.0,19.0651074809093,21.503593145384194,4.954813359528482,3.0451866404715178,历史2/2次成功; 当前距低点3.05%; 最新日涨幅-0.66%; 状态bottom_area; 底部已确认
