rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.35369053299108,80.77754189944133,002663,普邦股份,bottom_area,2022-06-14,1.85,2022-06-14,1.79,3.3519553072625725,3.3519553072625725,31.939163498098853,False,0.5435,1.7667,1,1,1,100.0,66.45569620253163,66.45569620253163,6.648044692737429,3.3519553072625725,历史1/1次成功; 当前距低点3.35%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
2,80.86849833289462,74.0564367816092,000151,中成股份,bottom_area,2022-06-14,15.72,2022-06-14,15.66,0.38314176245211046,5.363984674329501,30.4,False,-9.5512,26.8373,1,1,1,100.0,191.97080291970806,191.97080291970806,9.61685823754789,0.38314176245211046,历史1/1次成功; 当前距低点0.38%; 最新日涨幅-9.55%; 状态bottom_area; 底部未确认
3,77.8116244315069,75.37308349490696,002802,洪汇新材,bottom_area,2022-06-14,14.28,2022-06-08,13.82,3.328509406657012,6.078147612156294,30.726817042606513,False,0.0701,0.9256,1,1,1,100.0,20.65637065637066,20.65637065637066,6.6714905933429876,3.328509406657012,历史1/1次成功; 当前距低点3.33%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
4,77.50133876222841,77.19538145767058,603327,福蓉科技,bottom_area,2022-06-14,13.12,2022-06-10,12.52,4.792332268370604,8.226837060702884,32.03040173724214,True,-1.9432,0.425,2,2,2,100.0,45.01020983632018,52.609776304888165,5.207667731629397,4.792332268370604,历史2/2次成功; 当前距低点4.79%; 最新日涨幅-1.94%; 状态bottom_area; 底部已确认
5,75.53198762865154,73.38452469545813,603226,菲林格尔,bottom_area,2022-06-14,4.75,2022-06-14,4.59,3.4858387799564303,3.703703703703702,29.493087557603687,False,-0.4193,0.4478,2,2,2,100.0,17.70019953633753,17.891373801916934,6.5141612200435715,3.4858387799564303,历史2/2次成功; 当前距低点3.49%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
6,74.07824223836423,72.42286252354046,603183,建研院,bottom_area,2022-06-14,4.9,2022-06-14,4.72,3.8135593220339112,3.8135593220339112,27.38461538461539,False,0.0,2.7104,1,1,1,100.0,10.74074074074074,10.74074074074074,6.18644067796609,3.8135593220339112,历史1/1次成功; 当前距低点3.81%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,73.64659051826477,72.65985179024904,603203,快克智能,bottom_area,2022-06-14,24.3,2022-06-14,23.3,4.291845493562231,4.892703862660946,30.009011715229793,False,1.7162,0.797,1,1,1,100.0,17.877739331026522,17.877739331026522,5.708154506437769,4.291845493562231,历史1/1次成功; 当前距低点4.29%; 最新日涨幅1.72%; 状态bottom_area; 底部未确认
8,64.54374633564609,64.41841867285841,002723,小崧股份,bottom_area,2022-06-14,10.28,2022-06-14,9.8,4.897959183673455,8.06122448979591,30.985915492957737,False,-5.6015,7.9268,1,1,1,100.0,13.686911890504701,13.686911890504701,5.102040816326546,4.897959183673455,历史1/1次成功; 当前距低点4.90%; 最新日涨幅-5.60%; 状态bottom_area; 底部未确认
9,61.16461877975016,57.05381178128235,605266,健之佳,bottom_area,2022-06-14,43.58,2022-06-14,43.0,1.3488372093023215,2.9069767441860463,29.91035044824776,False,-0.5023,0.6819,1,2,1,50.0,12.038497948879776,12.038497948879776,8.65116279069768,1.3488372093023215,历史1/2次成功; 当前距低点1.35%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
