rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.74599941714534,89.77256097929873,002685,华东重机,bottom_area,2024-08-20,2.91,2024-08-19,2.86,1.7482517482517577,3.1468531468531578,27.41116751269036,False,0.692,4.4143,3,3,3,100.0,45.36868260920823,109.52380952380952,6.251748251748243,1.7482517482517577,历史3/3次成功; 当前距低点1.75%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
2,90.7936435857699,87.96266138042293,600343,航天动力,bottom_area,2024-08-20,7.83,2024-08-19,7.65,2.3529411764705843,2.875816993464049,31.696428571428566,False,0.1279,1.6425,4,4,4,100.0,26.383694961160476,55.72413793103447,5.647058823529417,2.3529411764705843,历史4/4次成功; 当前距低点2.35%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
3,85.93128401147892,81.32755015100939,300411,金盾股份,bottom_area,2024-08-20,10.67,2024-08-20,10.55,1.1374407582938313,5.1184834123222664,27.739726027397253,False,-0.2804,6.5616,2,2,2,100.0,31.617823010318947,33.550488599348526,6.862559241706169,1.1374407582938313,历史2/2次成功; 当前距低点1.14%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
4,84.59823939141724,78.33170314020114,688327,云从科技,bottom_area,2024-08-20,8.08,2024-08-20,8.08,0.0,3.5891089108910785,28.241563055062162,False,-2.8846,1.7123,7,7,7,100.0,20.331737312909354,53.56783919597991,8.0,0.0,历史7/7次成功; 当前距低点0.00%; 最新日涨幅-2.88%; 状态bottom_area; 底部未确认
5,83.6747327022901,80.17893129770994,002687,乔治白,bottom_area,2024-08-20,4.0,2024-07-25,3.93,1.7811704834605555,5.852417302798981,32.82051282051282,False,-0.9901,1.1698,1,1,1,100.0,64.00000000000001,64.00000000000001,6.2188295165394445,1.7811704834605555,历史1/1次成功; 当前距低点1.78%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
6,82.68299866066184,77.58888691299484,000597,东北制药,bottom_area,2024-08-20,4.35,2024-08-20,4.32,0.6944444444444295,3.240740740740733,27.879799666110184,False,-0.9112,2.8608,3,3,3,100.0,29.259248636172746,61.02150537634409,7.3055555555555705,0.6944444444444295,历史3/3次成功; 当前距低点0.69%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
7,82.13249622431485,80.86721472105505,300564,筑博设计,confirmed_rebound,2024-08-20,9.05,2024-08-19,8.77,3.192702394526809,8.095781071835814,30.452022204599526,True,1.6854,11.0789,3,3,3,100.0,16.218151508474087,19.006102877070617,4.807297605473191,3.192702394526809,历史3/3次成功; 当前距低点3.19%; 最新日涨幅1.69%; 状态confirmed_rebound; 底部已确认
8,81.04713403965964,77.67586483283849,002715,登云股份,bottom_area,2024-08-20,10.23,2024-08-20,10.05,1.7910447761194,4.4776119402985,28.162973552537522,False,-2.5714,2.3993,1,1,1,100.0,36.66369313113291,36.66369313113291,6.2089552238806,1.7910447761194,历史1/1次成功; 当前距低点1.79%; 最新日涨幅-2.57%; 状态bottom_area; 底部未确认
9,80.99611034152824,76.31028829645355,000983,山西焦煤,bottom_area,2024-08-20,7.83,2024-08-20,7.76,0.9020618556701068,4.639175257731951,28.47926267281106,False,-3.3333,0.6958,4,4,4,100.0,18.47843724398591,27.212389380530986,7.097938144329893,0.9020618556701068,历史4/4次成功; 当前距低点0.90%; 最新日涨幅-3.33%; 状态bottom_area; 底部未确认
10,80.34655883462436,76.30177281547859,300675,建科院,bottom_area,2024-08-20,11.56,2024-08-20,11.41,1.3146362839614405,5.959684487291847,28.6875,False,-5.401,6.7302,2,2,2,100.0,16.98464270382078,18.698630136986296,6.68536371603856,1.3146362839614405,历史2/2次成功; 当前距低点1.31%; 最新日涨幅-5.40%; 状态bottom_area; 底部未确认
11,80.32001705569843,77.35510694629713,002768,国恩股份,bottom_area,2024-08-20,17.47,2024-07-25,17.12,2.0443925233644733,7.827102803738316,27.549724925941593,True,-2.0191,0.6521,2,2,2,100.0,12.184526341764123,13.681691264459511,5.955607476635527,2.0443925233644733,历史2/2次成功; 当前距低点2.04%; 最新日涨幅-2.02%; 状态bottom_area; 底部已确认
