rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.48130175845733,77.64882319840196,000301,东方盛虹,bottom_area,2022-10-28,12.77,2022-10-28,12.74,0.23547880690737333,5.8869701726844585,32.34200743494423,False,-5.1967,0.9448,4,4,4,100.0,17.503843430918035,28.337639965546952,7.7645211930926274,0.23547880690737333,历史4/4次成功; 当前距低点0.24%; 最新日涨幅-5.20%; 状态bottom_area; 底部未确认
2,82.51617598468742,76.80803766631638,002157,正邦科技,bottom_area,2022-10-28,3.66,2022-10-28,3.65,0.27397260273973234,7.123287671232884,29.126213592233018,False,-8.9552,4.4369,4,4,4,100.0,13.455350540661076,16.780045351473927,7.726027397260268,0.27397260273973234,历史4/4次成功; 当前距低点0.27%; 最新日涨幅-8.96%; 状态bottom_area; 底部未确认
3,81.81,75.75,002137,实益达,bottom_area,2022-10-28,6.23,2022-10-28,6.23,0.0,7.704654895666124,27.04918032786884,False,-9.9711,22.9055,2,2,2,100.0,55.55040286140998,89.3034825870647,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
4,80.6783616554917,76.87065415284735,301313,凡拓数创,bottom_area,2022-10-28,22.53,2022-10-28,22.2,1.4864864864864948,6.801801801801808,30.407523510971785,False,-4.8162,14.797,1,1,1,100.0,38.816362053959956,38.816362053959956,6.513513513513505,1.4864864864864948,历史1/1次成功; 当前距低点1.49%; 最新日涨幅-4.82%; 状态bottom_area; 底部未确认
5,80.1734661260516,75.81556364861169,002677,浙江美大,bottom_area,2022-10-28,10.16,2022-10-28,10.05,1.0945273631840737,3.3830845771144267,32.955303535690454,False,-2.3077,0.7466,1,1,1,100.0,18.124118476727787,18.124118476727787,6.905472636815927,1.0945273631840737,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-2.31%; 状态bottom_area; 底部未确认
6,79.94013797620059,75.6495655989469,603030,全筑股份,bottom_area,2022-10-28,2.68,2022-10-28,2.65,1.1320754716981227,7.547169811320761,31.70103092783505,False,-6.2937,5.1281,1,1,1,100.0,27.906976744186036,27.906976744186036,6.867924528301877,1.1320754716981227,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-6.29%; 状态bottom_area; 底部未确认
7,79.43070044239869,73.9063848101266,000789,万年青,bottom_area,2022-10-28,7.92,2022-10-28,7.9,0.2531645569620199,6.835443037974673,29.020664869721475,False,-6.2722,1.1785,1,1,1,100.0,47.599999999999994,47.599999999999994,7.74683544303798,0.2531645569620199,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-6.27%; 状态bottom_area; 底部未确认
8,77.63976444884345,72.20985051625829,002796,世嘉科技,confirmed_rebound,2022-10-28,8.66,2022-10-28,8.64,0.23148148148147651,10.300925925925911,32.97129557796741,False,-9.7917,13.2466,2,2,2,100.0,31.7614424410541,36.33841886269071,7.7685185185185235,0.23148148148147651,历史2/2次成功; 当前距低点0.23%; 最新日涨幅-9.79%; 状态confirmed_rebound; 底部未确认
9,77.50693809269917,73.92368563181806,000596,古井贡酒,bottom_area,2022-10-28,201.22,2022-10-28,198.17,1.5390826058434737,3.976383912802152,28.902522154055905,False,-0.686,0.8534,1,1,1,100.0,13.402118135167584,13.402118135167584,6.460917394156526,1.5390826058434737,历史1/1次成功; 当前距低点1.54%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
10,75.86282237923398,71.09917748756699,001296,长江材料,bottom_area,2022-10-28,20.8,2022-10-28,20.67,0.6289308176100581,7.402031930333805,28.724137931034477,False,-6.0948,13.1774,2,2,2,100.0,20.446987912461964,20.884413309982484,7.371069182389942,0.6289308176100581,历史2/2次成功; 当前距低点0.63%; 最新日涨幅-6.09%; 状态bottom_area; 底部未确认
11,75.64802253942575,70.3911870845204,600126,杭钢股份,bottom_area,2022-10-28,3.91,2022-10-11,3.9,0.2564102564102623,7.179487179487174,31.698774080560423,True,-3.9312,0.3798,1,1,1,100.0,19.54732510288064,19.54732510288064,7.743589743589737,0.2564102564102623,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-3.93%; 状态bottom_area; 底部已确认
