rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,80.48360260942702,79.31077701078291,688037,芯源微,bottom_area,2022-04-08,137.79,2022-04-08,133.47,3.2366824005394417,5.649209560200788,27.854054054054057,False,0.1381,2.7111,2,2,2,100.0,24.034477871036746,27.322614278658854,4.763317599460558,3.2366824005394417,历史2/2次成功; 当前距低点3.24%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
2,80.24455914625798,79.47666862811198,300540,蜀道装备,confirmed_rebound,2022-04-08,24.84,2022-04-06,24.0,3.4999999999999996,8.708333333333334,30.23255813953488,True,0.0806,2.2101,3,3,3,100.0,12.508971118881544,18.695652173913043,4.500000000000001,3.4999999999999996,历史3/3次成功; 当前距低点3.50%; 最新日涨幅0.08%; 状态confirmed_rebound; 底部已确认
3,79.71184287930517,77.15524202026334,603260,合盛硅业,bottom_area,2022-04-08,97.2,2022-04-08,95.01,2.3050205241553496,4.631091464056406,27.80395136778115,False,0.2682,0.8957,1,1,1,100.0,17.691875351277094,17.691875351277094,5.694979475844651,2.3050205241553496,历史1/1次成功; 当前距低点2.31%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
4,79.63847216317363,75.72197600255794,002474,榕基软件,bottom_area,2022-04-08,6.62,2022-04-08,6.53,1.3782542113323102,3.828483920367534,27.685492801771865,False,-1.194,2.2455,1,1,1,100.0,21.0989010989011,21.0989010989011,6.621745788667691,1.3782542113323102,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
5,78.81457758913825,76.2341648478462,603351,威尔药业,bottom_area,2022-04-08,26.14,2022-04-08,25.56,2.2691705790297414,5.00782472613459,27.40698665151946,False,-1.3957,1.1617,2,2,2,100.0,18.106848215236642,22.528735632183903,5.730829420970259,2.2691705790297414,历史2/2次成功; 当前距低点2.27%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
6,78.74493684933259,76.33075483591752,002309,中利集团,bottom_area,2022-04-08,5.59,2022-04-08,5.46,2.380952380952379,3.663003663003666,32.59259259259259,False,-1.0619,3.5471,2,2,2,100.0,19.996377766069553,30.136986301369873,5.61904761904762,2.380952380952379,历史2/2次成功; 当前距低点2.38%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
7,78.38261383824987,75.77485792615138,688221,前沿生物,bottom_area,2022-04-08,15.97,2022-04-08,15.62,2.2407170294494327,4.289372599231754,28.348623853211013,False,-0.3121,2.1781,2,2,2,100.0,15.288670716645669,15.615615615615624,5.759282970550568,2.2407170294494327,历史2/2次成功; 当前距低点2.24%; 最新日涨幅-0.31%; 状态bottom_area; 底部未确认
8,77.71960647195628,76.06523621924913,300671,富满微,bottom_area,2022-04-08,78.2,2022-04-08,76.01,2.8811998421260325,5.446651756347849,28.00037889551955,False,2.3694,4.8684,1,1,1,100.0,18.894472361809044,18.894472361809044,5.1188001578739675,2.8811998421260325,历史1/1次成功; 当前距低点2.88%; 最新日涨幅2.37%; 状态bottom_area; 底部未确认
9,74.68822260427743,69.81897336445778,603215,比依股份,bottom_area,2022-04-08,16.22,2022-04-08,16.14,0.49566294919453713,5.328376703841385,28.425720620842572,False,-3.9668,12.7797,1,1,1,100.0,28.59723058398555,28.59723058398555,7.5043370508054625,0.49566294919453713,历史1/1次成功; 当前距低点0.50%; 最新日涨幅-3.97%; 状态bottom_area; 底部未确认
10,73.81971386750716,74.11066084574563,688117,圣诺生物,bottom_area,2022-04-08,36.68,2022-04-08,35.2,4.204545454545445,5.397727272727268,28.860145513338715,False,2.6014,9.8052,1,1,1,100.0,24.6076585059636,24.6076585059636,3.7954545454545547,4.204545454545445,历史1/1次成功; 当前距低点4.20%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
11,73.47999161902392,68.34620066807821,002534,西子洁能,bottom_area,2022-04-08,17.03,2022-04-08,16.99,0.23543260741614302,4.944084755738669,32.44532803180915,False,-4.1104,0.9056,1,1,1,100.0,17.489177489177486,17.489177489177486,7.764567392583857,0.23543260741614302,历史1/1次成功; 当前距低点0.24%; 最新日涨幅-4.11%; 状态bottom_area; 底部未确认
