rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.97757358654614,84.43271860095392,605005,合兴股份,bottom_area,2025-06-11,19.2,2025-06-10,18.87,1.7488076311605631,5.19342872284049,29.08680947012401,False,1.2658,2.6599,1,1,1,100.0,96.96521095484826,96.96521095484826,13.251192368839437,1.7488076311605631,历史1/1次成功; 当前距低点1.75%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
2,89.90169326004911,80.39062549334753,605377,华旺科技,bottom_area,2025-06-11,8.82,2025-06-05,8.69,1.4959723820483404,5.178365937859621,28.062913907284777,False,0.1135,0.5814,1,1,1,100.0,25.16904583020285,25.16904583020285,13.504027617951659,1.4959723820483404,历史1/1次成功; 当前距低点1.50%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
3,89.52407113882026,80.84971937411598,002819,东方中科,bottom_area,2025-06-11,28.19,2025-06-10,27.63,2.0267824828085494,5.501266739051754,32.21295387634936,False,0.2489,2.6762,4,5,4,80.0,27.47733029526597,51.677148846960186,12.973217517191449,2.0267824828085494,历史4/5次成功; 当前距低点2.03%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
4,87.93824103040315,79.03021141953114,000096,广聚能源,bottom_area,2025-06-11,13.84,2025-06-10,13.6,1.764705882352943,2.426470588235295,29.166666666666668,False,0.3626,1.9142,1,1,1,100.0,21.149144254278735,21.149144254278735,13.235294117647056,1.764705882352943,历史1/1次成功; 当前距低点1.76%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
5,87.27456169497243,79.84821162473703,002304,洋河股份,bottom_area,2025-06-11,66.77,2025-05-29,65.0,2.723076923076917,3.538461538461534,31.57894736842105,False,0.5875,0.2299,2,2,2,100.0,20.62810220081931,20.781426953567394,12.276923076923083,2.723076923076917,历史2/2次成功; 当前距低点2.72%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
6,87.216543614092,79.1152579729504,600770,综艺股份,bottom_area,2025-06-11,5.42,2025-06-11,5.3,2.264150943396228,2.4528301886792434,29.80132450331126,False,0.7435,4.6676,1,1,1,100.0,27.72861356932153,27.72861356932153,12.73584905660377,2.264150943396228,历史1/1次成功; 当前距低点2.26%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
7,87.19584959048852,77.06998758524144,000811,冰轮环境,bottom_area,2025-06-11,9.24,2025-06-10,9.16,0.873362445414848,3.2751091703056847,28.937160589604343,False,0.6536,1.5414,4,5,4,80.0,32.856204090254195,47.451868629671566,14.12663755458515,0.873362445414848,历史4/5次成功; 当前距低点0.87%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
8,87.1693297564504,79.04211538461536,603577,汇金通,bottom_area,2025-06-11,9.57,2025-06-10,9.36,2.243589743589753,3.952991452991464,27.216174183514774,False,1.3771,7.6329,1,1,1,100.0,27.083333333333325,27.083333333333325,12.756410256410247,2.243589743589753,历史1/1次成功; 当前距低点2.24%; 最新日涨幅1.38%; 状态bottom_area; 底部未确认
9,87.06207017711611,78.52228570181087,603499,翔港科技,bottom_area,2025-06-11,16.16,2025-06-11,15.85,1.9558359621451133,3.154574132492125,32.207014542343885,False,0.2481,1.2495,1,1,1,100.0,20.76124567474048,20.76124567474048,13.044164037854886,1.9558359621451133,历史1/1次成功; 当前距低点1.96%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
10,85.69512455843132,78.72255536863769,688543,国科军工,bottom_area,2025-06-11,44.8,2025-06-04,43.52,2.9411764705882213,6.755514705882347,31.604589030331603,False,0.4484,2.2922,1,1,1,100.0,33.916331836445266,33.916331836445266,12.058823529411777,2.9411764705882213,历史1/1次成功; 当前距低点2.94%; 最新日涨幅0.45%; 状态bottom_area; 底部未确认
11,85.02067133454007,77.78746817072366,688682,霍莱沃,bottom_area,2025-06-11,28.66,2025-06-10,27.9,2.7240143369175684,5.376344086021505,31.61764705882353,False,1.2363,2.255,1,1,1,100.0,26.22699386503069,26.22699386503069,12.27598566308243,2.7240143369175684,历史1/1次成功; 当前距低点2.72%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
