rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.05040789006168,77.33533187163644,002795,永和智控,bottom_area,2022-12-22,8.74,2022-12-22,8.65,1.040462427745663,4.5086705202312,29.67479674796748,False,-2.4554,2.3922,1,1,1,100.0,25.632183908045985,25.632183908045985,18.959537572254337,1.040462427745663,历史1/1次成功; 当前距低点1.04%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
2,90.02794737687064,75.02328948072554,300624,万兴科技,bottom_area,2022-12-22,28.5,2022-12-22,28.5,0.0,2.701754385964911,31.964669372165194,False,-1.3158,1.2372,2,2,2,100.0,35.87790043400834,51.195680123425035,20.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
3,88.39701105680432,75.29215650444738,300434,金石亚药,bottom_area,2022-12-22,16.11,2022-12-22,15.92,1.1934673366834139,12.939698492462314,31.26079447322971,False,-9.3416,11.1109,1,1,1,100.0,26.7379679144385,26.7379679144385,18.806532663316588,1.1934673366834139,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-9.34%; 状态bottom_area; 底部未确认
4,87.79150630430927,77.97678684951413,002395,双象股份,bottom_area,2022-12-22,10.09,2022-12-20,9.75,3.4871794871794854,5.230769230769228,28.62371888726208,False,0.1986,0.9616,1,1,1,100.0,36.59976387249114,36.59976387249114,16.512820512820515,3.4871794871794854,历史1/1次成功; 当前距低点3.49%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
5,85.74992418792915,72.73165289256198,002388,新亚制程,bottom_area,2022-12-22,7.33,2022-12-22,7.26,0.9641873278236954,6.749311294765843,30.85714285714286,False,-4.6814,3.8036,1,1,1,100.0,50.505050505050505,50.505050505050505,19.035812672176306,0.9641873278236954,历史1/1次成功; 当前距低点0.96%; 最新日涨幅-4.68%; 状态bottom_area; 底部未确认
6,85.66219021724204,71.83096113935873,300667,必创科技,bottom_area,2022-12-22,14.77,2022-12-22,14.72,0.339673913043471,3.668478260869559,28.404669260700384,False,-1.336,1.3001,1,1,1,100.0,27.287191726332534,27.287191726332534,19.66032608695653,0.339673913043471,历史1/1次成功; 当前距低点0.34%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
7,83.83140013207654,70.14720303077164,603289,泰瑞机器,bottom_area,2022-12-22,8.94,2022-12-22,8.92,0.22421524663676654,4.48430493273543,29.093799682034977,False,-3.1419,2.0743,1,1,1,100.0,27.034482758620705,27.034482758620705,19.775784753363233,0.22421524663676654,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
8,83.05829623920185,69.67370484524302,001332,锡装股份,bottom_area,2022-12-22,58.51,2022-12-22,58.3,0.36020583190394656,5.077186963979418,30.204716868191074,False,-3.7664,5.273,1,1,1,100.0,26.155774956903304,26.155774956903304,19.639794168096056,0.36020583190394656,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
9,75.43933983452494,63.91750562344684,002603,以岭药业,bottom_area,2022-12-22,36.78,2022-12-22,36.45,0.9053497942386783,5.898491083676265,32.449962935507784,False,-2.8783,7.4787,2,3,2,66.66666666666666,30.564712299163222,39.661898569570866,19.094650205761322,0.9053497942386783,历史2/3次成功; 当前距低点0.91%; 最新日涨幅-2.88%; 状态bottom_area; 底部未确认
10,75.02965285782572,62.60458202107512,300707,威唐工业,bottom_area,2022-12-22,14.37,2022-12-22,14.36,0.06963788300835506,4.317548746518113,28.056112224448903,False,-3.0364,1.3268,2,3,2,66.66666666666666,23.47682649283599,24.351297405189634,19.930362116991645,0.06963788300835506,历史2/3次成功; 当前距低点0.07%; 最新日涨幅-3.04%; 状态bottom_area; 底部未确认
11,65.93888266451215,55.58298578038977,300360,炬华科技,bottom_area,2022-12-22,12.86,2022-12-22,12.78,0.6259780907668238,5.633802816901413,29.702970297029708,False,-4.1014,2.2749,1,2,1,50.0,45.323741007194236,45.323741007194236,19.37402190923318,0.6259780907668238,历史1/2次成功; 当前距低点0.63%; 最新日涨幅-4.10%; 状态bottom_area; 底部未确认
12,65.05494780866208,54.29834690352826,300542,新晨科技,bottom_area,2022-12-22,11.59,2022-12-22,11.58,0.08635578583764929,4.576856649395504,27.078085642317383,False,-2.4411,2.3451,1,2,1,50.0,21.587301587301592,21.587301587301592,19.913644214162353,0.08635578583764929,历史1/2次成功; 当前距低点0.09%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
13,64.4894063444807,56.069487902846625,688248,南网科技,bottom_area,2022-12-22,47.24,2022-12-22,46.17,2.317522200563137,12.627247130171101,28.8597842835131,False,-7.3725,10.2103,1,2,1,50.0,28.835690968443974,28.835690968443974,17.682477799436864,2.317522200563137,历史1/2次成功; 当前距低点2.32%; 最新日涨幅-7.37%; 状态bottom_area; 底部未确认
14,63.37703230792044,53.02339637332918,002534,西子洁能,bottom_area,2022-12-22,13.94,2022-12-22,13.91,0.2156721782889961,4.529115744069008,28.812691914022516,False,-3.2616,0.7605,1,2,1,50.0,26.532951289398277,26.532951289398277,19.784327821711006,0.2156721782889961,历史1/2次成功; 当前距低点0.22%; 最新日涨幅-3.26%; 状态bottom_area; 底部未确认
