rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.01854778037524,84.51549696136004,603368,柳药集团,bottom_area,2024-06-26,17.91,2024-06-24,17.4,2.93103448275863,3.3333333333333446,27.800829875518684,False,1.1864,2.0612,3,3,3,100.0,31.603524634675978,42.85714285714285,12.06896551724137,2.93103448275863,历史3/3次成功; 当前距低点2.93%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
2,88.00461108228095,81.19073170731703,002687,乔治白,bottom_area,2024-06-26,4.23,2024-06-24,4.1,3.170731707317093,3.4146341463414775,29.914529914529915,False,1.1962,0.9942,1,1,1,100.0,64.00000000000001,64.00000000000001,11.829268292682906,3.170731707317093,历史1/1次成功; 当前距低点3.17%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
3,85.5018511141534,79.41862903345229,301332,德尔玛,bottom_area,2024-06-26,9.08,2024-06-24,8.77,3.5347776510832443,4.332953249714946,30.507131537242472,False,2.4831,1.025,1,1,1,100.0,44.935064935064936,44.935064935064936,11.465222348916756,3.5347776510832443,历史1/1次成功; 当前距低点3.53%; 最新日涨幅2.48%; 状态bottom_area; 底部未确认
4,84.75961157987379,77.51496489625119,300755,华致酒行,bottom_area,2024-06-26,14.07,2024-06-26,13.7,2.700729927007307,3.211678832116798,27.47485442032822,False,0.788,0.664,1,1,1,100.0,24.47650069799908,24.47650069799908,12.299270072992693,2.700729927007307,历史1/1次成功; 当前距低点2.70%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
5,84.42840800576856,79.35000752421857,000717,中南股份,bottom_area,2024-06-26,1.75,2024-06-24,1.68,4.1666666666666705,4.761904761904766,29.411764705882355,False,3.5503,0.8004,2,2,2,100.0,35.64520174311065,56.020942408376975,10.833333333333329,4.1666666666666705,历史2/2次成功; 当前距低点4.17%; 最新日涨幅3.55%; 状态bottom_area; 底部未确认
6,84.01100501220621,78.53138940799187,600162,香江控股,bottom_area,2024-06-26,1.34,2024-06-24,1.29,3.8759689922480653,4.651162790697678,32.81249999999999,False,0.7519,0.4708,2,2,2,100.0,27.68063822751323,28.90624999999999,11.124031007751933,3.8759689922480653,历史2/2次成功; 当前距低点3.88%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
7,82.67230754230795,77.77220883534136,000718,苏宁环球,bottom_area,2024-06-26,1.73,2024-06-24,1.66,4.216867469879522,4.81927710843374,32.24489795918368,False,1.7647,0.7784,2,2,2,100.0,27.77777777777778,36.111111111111114,10.783132530120477,4.216867469879522,历史2/2次成功; 当前距低点4.22%; 最新日涨幅1.76%; 状态bottom_area; 底部未确认
8,82.53784472064609,78.0965847347995,002015,协鑫能科,bottom_area,2024-06-26,8.08,2024-06-25,7.73,4.52781371280724,4.786545924967648,27.349624060150372,False,3.5897,0.6827,1,1,1,100.0,65.95380667236954,65.95380667236954,10.47218628719276,4.52781371280724,历史1/1次成功; 当前距低点4.53%; 最新日涨幅3.59%; 状态bottom_area; 底部未确认
9,80.68483220483529,73.3066163750691,600295,鄂尔多斯,bottom_area,2024-06-26,10.02,2024-06-26,9.79,2.3493360572012305,3.064351378958128,27.319970304380114,False,-1.4749,0.6559,1,1,1,100.0,20.016680567139286,20.016680567139286,12.650663942798769,2.3493360572012305,历史1/1次成功; 当前距低点2.35%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
10,80.07074570789206,74.6874539766501,603180,金牌家居,bottom_area,2024-06-26,19.59,2024-06-24,18.88,3.7605932203389876,4.661016949152557,28.403488813045136,False,1.7662,0.3468,3,4,3,75.0,26.433368381844026,31.366822429906527,11.239406779661012,3.7605932203389876,历史3/4次成功; 当前距低点3.76%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
11,80.00827093166127,75.38418922167207,000862,银星能源,bottom_area,2024-06-26,4.85,2024-06-26,4.65,4.301075268817189,4.731182795698919,27.34375,False,2.9724,1.2546,1,1,1,100.0,32.63785394932937,32.63785394932937,10.69892473118281,4.301075268817189,历史1/1次成功; 当前距低点4.30%; 最新日涨幅2.97%; 状态bottom_area; 底部未确认
