rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.67330579400918,80.62935908154437,300624,万兴科技,bottom_area,2022-02-17,39.78,2022-02-14,39.08,1.7911975435005192,5.578300921187307,29.24135433641137,False,-1.7292,2.8558,2,2,2,100.0,35.87790043400834,51.195680123425035,13.20880245649948,1.7911975435005192,历史2/2次成功; 当前距低点1.79%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
2,84.84000415030202,74.69877916440586,000620,盈新发展,bottom_area,2022-02-17,3.02,2022-02-17,3.0,0.6666666666666672,6.333333333333331,27.710843373493983,False,-5.625,5.4044,2,2,2,100.0,40.26225357207451,58.4192439862543,14.333333333333332,0.6666666666666672,历史2/2次成功; 当前距低点0.67%; 最新日涨幅-5.62%; 状态bottom_area; 底部未确认
3,83.8997495022386,77.37834327834328,300511,雪榕生物,bottom_area,2022-02-17,6.87,2022-01-27,6.66,3.153153153153153,8.108108108108109,31.198347107438014,True,-1.5759,2.3248,2,2,2,100.0,25.900712191034756,29.220779220779214,11.846846846846846,3.153153153153153,历史2/2次成功; 当前距低点3.15%; 最新日涨幅-1.58%; 状态bottom_area; 底部已确认
4,83.22811667157123,73.54314636283961,603368,柳药集团,bottom_area,2022-02-17,16.44,2022-01-28,16.3,0.8588957055214758,6.871165644171786,30.282292557741652,False,-1.2613,1.5371,1,1,1,100.0,42.85714285714285,42.85714285714285,14.141104294478524,0.8588957055214758,历史1/1次成功; 当前距低点0.86%; 最新日涨幅-1.26%; 状态bottom_area; 底部未确认
5,82.77575162157427,74.97969745222932,000518,四环生物,bottom_area,2022-02-17,3.27,2022-01-27,3.2,2.187499999999995,8.4375,27.272727272727277,True,-1.8018,1.1307,1,1,1,100.0,17.834394904458602,17.834394904458602,12.812500000000004,2.187499999999995,历史1/1次成功; 当前距低点2.19%; 最新日涨幅-1.80%; 状态bottom_area; 底部已确认
6,79.98665982202228,70.005707863277,300562,乐心医疗,bottom_area,2022-02-17,11.58,2022-02-14,11.54,0.34662045060659386,3.5528596187175054,31.957547169811328,False,-2.1959,3.4451,1,1,1,100.0,17.559153175591536,17.559153175591536,14.653379549393405,0.34662045060659386,历史1/1次成功; 当前距低点0.35%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
7,79.43873793397667,74.49469815333816,688311,盟升电子,bottom_area,2022-02-17,56.3,2022-02-14,54.11,4.047311033080757,7.5586767695435295,29.443212935193635,True,-1.5562,0.8537,2,2,2,100.0,21.357888756786508,23.893805309734503,10.952688966919242,4.047311033080757,历史2/2次成功; 当前距低点4.05%; 最新日涨幅-1.56%; 状态bottom_area; 底部已确认
8,73.39962052002065,69.41619865853836,002186,全聚德,bottom_area,2022-02-17,9.75,2022-01-27,9.33,4.5016077170418,11.46838156484459,28.61514919663351,True,-2.3046,1.5805,1,1,1,100.0,16.28959276018099,16.28959276018099,10.4983922829582,4.5016077170418,历史1/1次成功; 当前距低点4.50%; 最新日涨幅-2.30%; 状态bottom_area; 底部已确认
9,63.20615375349549,59.15344340012921,300573,兴齐眼药,bottom_area,2022-02-17,96.83,2022-02-14,93.16,3.9394589952769445,7.234864748819246,32.24727272727273,True,0.634,1.8311,1,3,1,33.33333333333333,42.86062675283501,42.86062675283501,11.060541004723055,3.9394589952769445,历史1/3次成功; 当前距低点3.94%; 最新日涨幅0.63%; 状态bottom_area; 底部已确认
10,55.33430894694908,51.862091102452524,688276,百克生物,bottom_area,2022-02-17,51.0,2022-02-14,49.03,4.017948194982661,6.465429328982259,30.55240793201132,False,-0.2738,1.1509,1,2,1,50.0,16.844155844155843,16.844155844155843,10.982051805017338,4.017948194982661,历史1/2次成功; 当前距低点4.02%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
