rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.3837406896544,82.5191351857858,300342,天银机电,bottom_area,2023-08-10,10.87,2023-08-10,10.76,1.0223048327137494,2.6951672862453617,30.625402965828496,False,-0.6399,3.1153,3,3,3,100.0,19.9461838944793,26.68539325842696,6.97769516728625,1.0223048327137494,历史3/3次成功; 当前距低点1.02%; 最新日涨幅-0.64%; 状态bottom_area; 底部未确认
2,87.18824594359121,82.58767466826983,300455,航天智装,bottom_area,2023-08-10,11.13,2023-08-10,11.0,1.181818181818189,1.818181818181812,29.48717948717949,False,0.18,1.1339,2,2,2,100.0,16.463549047394118,18.904109589041095,6.81818181818181,1.181818181818189,历史2/2次成功; 当前距低点1.18%; 最新日涨幅0.18%; 状态bottom_area; 底部未确认
3,86.93866014849873,84.06763610289791,002045,国光电器,bottom_area,2023-08-10,13.61,2023-07-28,13.31,2.2539444027047253,6.536438767843721,27.937195452084456,False,-0.8017,0.8869,4,4,4,100.0,26.70230828529398,33.77563329312426,5.746055597295275,2.2539444027047253,历史4/4次成功; 当前距低点2.25%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
4,86.47786679720778,83.38879494820675,002829,星网宇达,bottom_area,2023-08-10,30.99,2023-08-10,30.35,2.1087314662273378,2.9654036243822026,32.209068572704936,False,0.8461,1.5433,3,3,3,100.0,15.4661435011025,21.628131021194598,5.891268533772663,2.1087314662273378,历史3/3次成功; 当前距低点2.11%; 最新日涨幅0.85%; 状态bottom_area; 底部未确认
5,84.68492809885286,79.22465120613695,600072,中船科技,bottom_area,2023-08-10,22.53,2023-08-09,22.41,0.5354752342704194,2.320392681838463,27.003257328990227,False,0.267,2.1225,3,3,3,100.0,13.631907205771569,14.0952380952381,7.464524765729581,0.5354752342704194,历史3/3次成功; 当前距低点0.54%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
6,83.66196791049781,81.6509356075706,002403,爱仕达,bottom_area,2023-08-10,8.64,2023-07-28,8.41,2.7348394768133226,6.658739595719387,32.61217948717949,False,0.6993,0.8227,3,3,3,100.0,13.797686100564366,21.63892445582587,5.265160523186678,2.7348394768133226,历史3/3次成功; 当前距低点2.73%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
7,82.94827189610295,78.77051706509496,688287,退市观典,bottom_area,2023-08-10,10.8,2023-08-10,10.66,1.3133208255159527,1.9699812382739126,28.743315508021393,False,0.8403,0.3301,1,1,1,100.0,14.219830899308223,14.219830899308223,6.6866791744840475,1.3133208255159527,历史1/1次成功; 当前距低点1.31%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
8,82.32486505584684,78.1469018926897,300565,科信技术,bottom_area,2023-08-10,16.46,2023-08-09,16.25,1.2923076923076977,3.076923076923077,28.60281195079087,False,0.4884,2.5995,1,1,1,100.0,10.60948081264109,10.60948081264109,6.707692307692302,1.2923076923076977,历史1/1次成功; 当前距低点1.29%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
9,81.88224338748384,80.27400008120966,688328,深科达,bottom_area,2023-08-10,23.24,2023-08-10,22.57,2.9685423128046,3.5445281346920723,28.280902446774704,False,2.109,3.6395,2,2,2,100.0,25.92621803443088,29.170984455958543,5.031457687195401,2.9685423128046,历史2/2次成功; 当前距低点2.97%; 最新日涨幅2.11%; 状态bottom_area; 底部未确认
10,81.7483128570312,78.37703667043937,688300,联瑞新材,bottom_area,2023-08-10,42.74,2023-08-08,41.98,1.8103858980467014,6.479275845640796,28.239316239316242,False,-1.019,0.2806,2,2,2,100.0,24.003852247235756,26.809910956252438,6.189614101953299,1.8103858980467014,历史2/2次成功; 当前距低点1.81%; 最新日涨幅-1.02%; 状态bottom_area; 底部未确认
11,81.71864531146889,76.05419732984834,603033,三维股份,bottom_area,2023-08-10,15.07,2023-08-10,15.03,0.26613439787093096,1.2641383898869014,30.319888734353274,False,-0.3966,0.1142,3,3,3,100.0,15.757977188140112,24.922480620155024,7.73386560212907,0.26613439787093096,历史3/3次成功; 当前距低点0.27%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
12,79.62246373956224,76.75957456007609,601360,三六零,bottom_area,2023-08-10,11.69,2023-07-24,11.45,2.0960698689956354,6.637554585152852,29.1460396039604,False,0.6891,1.007,1,1,1,100.0,13.003300330033007,13.003300330033007,5.903930131004365,2.0960698689956354,历史1/1次成功; 当前距低点2.10%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
