rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.91582086946802,82.76905844298176,300538,同益股份,bottom_area,2023-12-11,18.88,2023-12-11,18.54,1.8338727076591146,2.1574973031283826,29.23664122137405,False,0.6397,2.9121,2,2,2,100.0,25.431657077658826,30.150753768844226,8.166127292340885,1.8338727076591146,历史2/2次成功; 当前距低点1.83%; 最新日涨幅0.64%; 状态bottom_area; 底部未确认
2,83.83656626241962,78.76365301724138,605188,国光连锁,bottom_area,2023-12-11,8.85,2023-12-08,8.7,1.7241379310344869,5.40229885057472,27.680798004987533,False,0.9122,2.289,1,1,1,100.0,19.218749999999993,19.218749999999993,8.275862068965514,1.7241379310344869,历史1/1次成功; 当前距低点1.72%; 最新日涨幅0.91%; 状态bottom_area; 底部未确认
3,81.80908633726138,77.46918934267191,002369,卓翼科技,bottom_area,2023-12-11,5.73,2023-12-11,5.61,2.1390374331550817,2.1390374331550817,27.984595635430036,False,1.0582,3.7719,1,1,1,100.0,17.345132743362825,17.345132743362825,7.860962566844918,2.1390374331550817,历史1/1次成功; 当前距低点2.14%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
4,81.43382272739709,78.02983656837404,002142,宁波银行,bottom_area,2023-12-11,20.86,2023-12-11,20.3,2.758620689655166,2.955665024630531,30.19257221458046,False,0.1921,0.5628,1,1,1,100.0,27.95425667090217,27.95425667090217,7.241379310344835,2.758620689655166,历史1/1次成功; 当前距低点2.76%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
5,78.59776172469242,76.20589777977965,601628,中国人寿,bottom_area,2023-12-11,28.77,2023-12-11,27.83,3.3776500179662285,3.449514911965508,27.41262389149714,False,0.9828,0.069,1,1,1,100.0,25.736235595390532,25.736235595390532,6.622349982033772,3.3776500179662285,历史1/1次成功; 当前距低点3.38%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
6,78.24329786075461,74.98631643963898,601933,永辉超市,bottom_area,2023-12-11,2.97,2023-12-11,2.89,2.7681660899654004,2.7681660899654004,27.56892230576441,False,0.3378,0.7045,1,1,1,100.0,11.70825335892515,11.70825335892515,7.2318339100346005,2.7681660899654004,历史1/1次成功; 当前距低点2.77%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
7,78.08015384556398,73.63280487652544,300683,海特生物,bottom_area,2023-12-11,36.59,2023-12-11,35.9,1.9220055710306543,2.2005571030640643,30.48024786986832,False,-0.2182,1.3474,1,1,1,100.0,16.532137518684582,16.532137518684582,8.077994428969346,1.9220055710306543,历史1/1次成功; 当前距低点1.92%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
8,78.00528739709299,74.72244914470643,688303,大全能源,bottom_area,2023-12-11,29.59,2023-12-07,28.8,2.7430555555555522,3.819444444444437,32.10749646393211,False,-1.0368,1.3514,1,1,1,100.0,32.45492371705965,32.45492371705965,7.256944444444448,2.7430555555555522,历史1/1次成功; 当前距低点2.74%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
9,77.86191499144044,74.71858156028368,002137,实益达,bottom_area,2023-12-11,7.25,2023-11-30,7.05,2.8368794326241162,5.6737588652482325,27.31958762886598,False,0.8345,5.4129,2,3,2,66.66666666666666,55.55040286140998,89.3034825870647,7.163120567375884,2.8368794326241162,历史2/3次成功; 当前距低点2.84%; 最新日涨幅0.83%; 状态bottom_area; 底部未确认
10,76.1574511854981,73.84425757472361,601601,中国太保,bottom_area,2023-12-11,23.24,2023-12-11,22.48,3.3807829181494573,3.825622775800709,27.178490443796566,False,0.6496,0.5658,1,1,1,100.0,13.077648538195538,13.077648538195538,6.619217081850542,3.3807829181494573,历史1/1次成功; 当前距低点3.38%; 最新日涨幅0.65%; 状态bottom_area; 底部未确认
11,72.86982107324962,71.74874690289192,002508,老板电器,bottom_area,2023-12-11,22.4,2023-12-11,21.5,4.186046511627901,4.37209302325582,30.533117932148624,False,0.9919,0.7171,1,1,1,100.0,11.682435211846977,11.682435211846977,5.813953488372099,4.186046511627901,历史1/1次成功; 当前距低点4.19%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
12,65.9978703450792,65.86759424885916,002786,银宝山新,bottom_area,2023-12-11,12.64,2023-12-11,12.05,4.896265560165974,7.46887966804978,31.14285714285714,False,-2.0914,14.4041,3,4,3,75.0,15.409030785148293,18.75000000000001,5.103734439834027,4.896265560165974,历史3/4次成功; 当前距低点4.90%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
13,64.5049332727007,64.00571514322614,603211,晋拓股份,bottom_area,2023-12-11,19.36,2023-12-07,18.51,4.592112371690966,6.050783360345744,28.200155159038008,False,1.8411,25.8098,2,3,2,66.66666666666666,13.91970260223049,15.200000000000008,5.407887628309034,4.592112371690966,历史2/3次成功; 当前距低点4.59%; 最新日涨幅1.84%; 状态bottom_area; 底部未确认
14,51.704949490022486,47.61630336279637,603032,德新科技,bottom_area,2023-12-11,17.83,2023-12-11,17.71,0.6775832862789241,2.202145680406553,27.26899383983573,False,-1.4917,2.6793,1,3,1,33.33333333333333,12.354085603112855,12.354085603112855,9.322416713721077,0.6775832862789241,历史1/3次成功; 当前距低点0.68%; 最新日涨幅-1.49%; 状态bottom_area; 底部未确认
