rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.55184518297732,81.39890317861537,002173,创新医疗,bottom_area,2024-11-19,8.28,2024-11-19,7.99,3.629536921151429,4.1301627033792245,28.660714285714278,False,0.4854,7.7021,3,3,3,100.0,23.40993203677754,27.109266943291825,6.370463078848572,3.629536921151429,历史3/3次成功; 当前距低点3.63%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
2,79.29054948214362,78.35571985266496,300712,永福股份,bottom_area,2024-11-19,27.66,2024-11-18,26.5,4.3773584905660385,7.471698113207549,28.37837837837838,False,3.712,4.2299,3,3,3,100.0,16.215576404061963,25.401730531520393,5.622641509433962,4.3773584905660385,历史3/3次成功; 当前距低点4.38%; 最新日涨幅3.71%; 状态bottom_area; 底部未确认
3,77.1012310551311,75.92311377245508,002269,美邦服饰,bottom_area,2024-11-19,1.74,2024-11-19,1.67,4.19161676646707,5.389221556886232,27.074235807860266,False,-1.1364,5.5735,4,5,4,80.0,55.800685437271994,173.50993377483442,5.808383233532931,4.19161676646707,历史4/5次成功; 当前距低点4.19%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
4,75.60091429189373,75.34399187708686,300581,晨曦航空,bottom_area,2024-11-19,12.61,2024-11-19,12.03,4.8212801330008315,5.153782211138829,28.179104477611943,False,2.6037,4.0286,2,2,2,100.0,22.131777313595503,32.54926891290528,5.178719866999169,4.8212801330008315,历史2/2次成功; 当前距低点4.82%; 最新日涨幅2.60%; 状态bottom_area; 底部未确认
5,74.79566682426716,73.03233849928442,002298,中电鑫龙,bottom_area,2024-11-19,5.26,2024-11-18,5.07,3.747534516765276,8.086785009861936,27.1551724137931,False,1.938,5.3519,3,4,3,75.0,17.37482364252282,23.734729493891784,6.252465483234724,3.747534516765276,历史3/4次成功; 当前距低点3.75%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
6,74.1731029301019,73.98813259860539,002247,聚力文化,bottom_area,2024-11-19,2.8,2024-11-19,2.67,4.8689138576778985,6.741573033707872,27.049180327868854,False,-0.3559,8.0929,3,3,3,100.0,21.232560183392433,32.967032967032964,5.131086142322102,4.8689138576778985,历史3/3次成功; 当前距低点4.87%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
7,66.3537917882446,65.71646830785734,688058,宝兰德,bottom_area,2024-11-19,32.79,2024-11-19,31.38,4.493307839388145,6.564690885914591,28.97238569488457,False,2.79,2.6854,2,3,2,66.66666666666666,21.906147930084103,24.27558257345491,5.506692160611855,4.493307839388145,历史2/3次成功; 当前距低点4.49%; 最新日涨幅2.79%; 状态bottom_area; 底部未确认
8,66.18548973826339,65.95804819277107,600221,海航控股,confirmed_rebound,2024-11-19,1.74,2024-11-18,1.66,4.81927710843374,10.843373493975914,31.967213114754102,False,-2.2472,3.652,1,1,1,100.0,20.999999999999996,20.999999999999996,5.18072289156626,4.81927710843374,历史1/1次成功; 当前距低点4.82%; 最新日涨幅-2.25%; 状态confirmed_rebound; 底部未确认
9,57.07843471653755,56.02215114056326,300578,会畅科技,bottom_area,2024-11-19,21.48,2024-11-19,20.65,4.019370460048435,4.019370460048435,27.670753064798603,False,2.9722,4.4513,1,2,1,50.0,16.75438596491228,16.75438596491228,5.980629539951565,4.019370460048435,历史1/2次成功; 当前距低点4.02%; 最新日涨幅2.97%; 状态bottom_area; 底部未确认
10,55.85656078389733,55.134256198713615,301333,诺思格,confirmed_rebound,2024-11-19,55.34,2024-11-18,53.05,4.316682375117825,11.02733270499529,27.408319649698964,False,2.7669,1.919,1,2,1,50.0,25.840279645065877,25.840279645065877,5.683317624882175,4.316682375117825,历史1/2次成功; 当前距低点4.32%; 最新日涨幅2.77%; 状态confirmed_rebound; 底部未确认
11,49.33117058311576,44.84651871192341,300622,博士眼镜,confirmed_rebound,2024-11-19,41.28,2024-11-19,41.28,0.0,12.6453488372093,29.74812797821647,False,-20.0,26.7609,1,3,1,33.33333333333333,21.84508268059182,21.84508268059182,10.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-20.00%; 状态confirmed_rebound; 底部未确认
