rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,80.11969138195475,79.42382355313397,688316,青云科技,bottom_area,2022-02-09,50.22,2022-02-08,48.5,3.546391752577317,4.948453608247419,31.497175141242934,False,1.8661,3.6736,3,3,3,100.0,11.77202553231324,13.030303030303022,4.453608247422683,3.546391752577317,历史3/3次成功; 当前距低点3.55%; 最新日涨幅1.87%; 状态bottom_area; 底部未确认
2,79.8082424108969,78.62560111936283,300648,星云股份,bottom_area,2022-02-09,47.07,2022-02-08,45.6,3.2236842105263133,6.118421052631577,27.596062241981578,False,0.2129,2.3308,2,2,2,100.0,20.191403867542057,26.78362573099414,4.776315789473687,3.2236842105263133,历史2/2次成功; 当前距低点3.22%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
3,77.44264726047643,75.2161047616141,688319,欧林生物,bottom_area,2022-02-09,28.89,2022-02-08,28.19,2.4831500532103554,4.043987229514001,27.28914108847047,False,1.2263,0.9392,1,1,1,100.0,9.449929478138205,9.449929478138205,5.516849946789645,2.4831500532103554,历史1/1次成功; 当前距低点2.48%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
4,74.2013834160957,72.595187514009,601966,玲珑轮胎,bottom_area,2022-02-09,29.83,2022-02-09,29.0,2.8620689655172353,5.9310344827586166,30.120481927710845,False,-2.8339,1.3249,1,1,1,100.0,22.476907287033857,22.476907287033857,5.137931034482765,2.8620689655172353,历史1/1次成功; 当前距低点2.86%; 最新日涨幅-2.83%; 状态bottom_area; 底部未确认
5,74.07132053538761,73.05348163218031,688039,当虹科技,bottom_area,2022-02-09,65.17,2022-02-08,63.1,3.280507131537243,7.0364500792393105,29.881097899766633,False,-0.2754,1.6351,2,2,2,100.0,13.403429527339858,17.019445878506282,4.7194928684627575,3.280507131537243,历史2/2次成功; 当前距低点3.28%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
6,73.74629008312088,71.60067953964038,300573,兴齐眼药,bottom_area,2022-02-09,101.02,2022-02-08,98.59,2.464753017547411,4.4426412415052186,28.298181818181817,False,0.4375,1.6931,2,3,2,66.66666666666666,28.675536306353806,42.86062675283501,5.535246982452589,2.464753017547411,历史2/3次成功; 当前距低点2.46%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
7,73.70065376952678,73.34952389011156,300677,英科医疗,bottom_area,2022-02-09,54.48,2022-02-07,52.51,3.7516663492668045,4.113502190059044,29.516778523489933,False,0.4055,2.2444,1,1,1,100.0,14.964103045375621,14.964103045375621,4.248333650733196,3.7516663492668045,历史1/1次成功; 当前距低点3.75%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
8,72.57985813360706,72.36250275779305,688127,蓝特光学,bottom_area,2022-02-09,18.91,2022-02-09,18.21,3.844041735310265,4.557935200439309,29.39123691353237,False,0.2651,2.8511,1,1,1,100.0,10.789881259679916,10.789881259679916,4.155958264689735,3.844041735310265,历史1/1次成功; 当前距低点3.84%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
9,72.46088169453276,71.0527806122449,688356,键凯科技,bottom_area,2022-02-09,201.84,2022-02-09,196.0,2.9795918367346954,6.377551020408164,32.151758515646634,False,-2.2945,2.0969,1,1,1,100.0,15.625,15.625,5.020408163265305,2.9795918367346954,历史1/1次成功; 当前距低点2.98%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
10,69.59277161388829,70.89892210310639,000848,承德露露,bottom_area,2022-02-09,9.51,2022-01-28,9.06,4.966887417218535,5.077262693156722,27.228915662650593,False,1.7112,1.0096,1,1,1,100.0,16.685082872928174,16.685082872928174,3.033112582781465,4.966887417218535,历史1/1次成功; 当前距低点4.97%; 最新日涨幅1.71%; 状态bottom_area; 底部未确认
11,69.03734183680055,70.0842433979315,600171,上海贝岭,bottom_area,2022-02-09,21.69,2022-01-28,20.7,4.782608695652184,4.9758454106280245,29.711375212224112,False,1.166,1.854,1,1,1,100.0,10.046189376443415,10.046189376443415,3.2173913043478164,4.782608695652184,历史1/1次成功; 当前距低点4.78%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
12,68.54695757541546,69.77774569290048,300639,凯普生物,bottom_area,2022-02-09,28.12,2022-01-28,26.8,4.925373134328359,5.07462686567164,29.934640522875817,False,0.8247,2.1454,1,1,1,100.0,10.14836795252224,10.14836795252224,3.074626865671642,4.925373134328359,历史1/1次成功; 当前距低点4.93%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
13,68.05528191739127,69.33376916181668,688049,炬芯科技,bottom_area,2022-02-09,50.5,2022-01-27,48.11,4.967782165869883,7.046352109748494,30.577200577200575,False,1.0,1.6889,1,1,1,100.0,8.281249999999996,8.281249999999996,3.032217834130117,4.967782165869883,历史1/1次成功; 当前距低点4.97%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
