rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.2917253877609,71.37270186862649,300515,三德科技,bottom_area,2023-08-01,13.25,2023-07-28,13.22,0.22692889561270316,2.7987897125567263,27.162534435261698,False,-1.2668,1.3488,1,1,1,100.0,23.441396508728182,23.441396508728182,19.7730711043873,0.22692889561270316,历史1/1次成功; 当前距低点0.23%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
2,83.787605223531,75.14461777801621,301386,未来电器,bottom_area,2023-08-01,27.7,2023-08-01,26.63,4.018024784078109,4.018024784078109,28.70147255689425,False,2.101,18.8205,1,1,1,100.0,27.880184331797242,27.880184331797242,15.981975215921892,4.018024784078109,历史1/1次成功; 当前距低点4.02%; 最新日涨幅2.10%; 状态bottom_area; 底部未确认
3,81.59760007183262,72.09650965250964,002219,新里程,bottom_area,2023-08-01,3.87,2023-07-28,3.75,3.200000000000003,6.400000000000006,27.884615384615387,False,-1.5267,0.7935,1,1,1,100.0,23.938223938223942,23.938223938223942,16.799999999999997,3.200000000000003,历史1/1次成功; 当前距低点3.20%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
4,81.20811341062452,72.34712853100667,002755,奥赛康,bottom_area,2023-08-01,8.23,2023-07-17,7.94,3.6523929471032752,6.171284634760696,28.853046594982075,False,-0.3632,0.2494,1,1,1,100.0,30.831099195710454,30.831099195710454,16.347607052896727,3.6523929471032752,历史1/1次成功; 当前距低点3.65%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
5,80.83628388744619,71.85679215385166,002045,国光电器,bottom_area,2023-08-01,13.78,2023-07-28,13.31,3.531179564237407,6.386175807663408,27.937195452084456,False,-1.2186,2.1073,3,4,3,75.0,30.875707313510432,33.77563329312426,16.468820435762595,3.531179564237407,历史3/4次成功; 当前距低点3.53%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
6,75.32835501948927,64.64746886000945,688320,禾川科技,bottom_area,2023-08-01,35.42,2023-07-31,34.86,1.6064257028112514,4.67584624211131,31.3374039787276,False,0.6822,2.3539,1,2,1,50.0,33.54902936784469,33.54902936784469,18.39357429718875,1.6064257028112514,历史1/2次成功; 当前距低点1.61%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
7,67.12211304323404,59.745321631834415,688095,福昕软件,bottom_area,2023-08-01,100.04,2023-08-01,96.56,3.6039768019884053,5.903065451532728,28.474074074074075,False,0.6236,3.5586,1,2,1,50.0,31.679509356817103,31.679509356817103,16.396023198011594,3.6039768019884053,历史1/2次成功; 当前距低点3.60%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
8,63.43985823665099,54.50269171255688,002403,爱仕达,bottom_area,2023-08-01,8.55,2023-07-28,8.41,1.664684898929852,3.091557669441139,32.61217948717949,False,-1.1561,1.3516,1,3,1,33.33333333333333,21.63892445582587,21.63892445582587,18.335315101070147,1.664684898929852,历史1/3次成功; 当前距低点1.66%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
9,63.17555581007397,54.53010678166228,603033,三维股份,bottom_area,2023-08-01,15.39,2023-08-01,15.1,1.9205298013245096,2.7814569536423837,29.995363931386187,False,-0.4528,0.2853,1,3,1,33.33333333333333,24.922480620155024,24.922480620155024,18.07947019867549,1.9205298013245096,历史1/3次成功; 当前距低点1.92%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
10,61.84621046653775,53.8090801031657,688027,国盾量子,bottom_area,2023-08-01,139.9,2023-07-28,136.68,2.3558677202224163,3.7167105648229324,27.096223597183695,False,-0.759,0.6029,1,3,1,33.33333333333333,26.382393397524062,26.382393397524062,17.644132279777587,2.3558677202224163,历史1/3次成功; 当前距低点2.36%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
11,61.6322807082331,53.69586238399118,300342,天银机电,bottom_area,2023-08-01,11.38,2023-07-28,11.11,2.4302430243024427,4.230423042304237,28.368794326241137,False,-0.8711,3.7137,1,3,1,33.33333333333333,26.68539325842696,26.68539325842696,17.56975697569756,2.4302430243024427,历史1/3次成功; 当前距低点2.43%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
12,61.22746073059615,54.828669736493275,688322,奥比中光,bottom_area,2023-08-01,34.6,2023-07-28,33.29,3.9351156503454563,5.407029137879256,27.6304347826087,False,0.1157,1.2921,1,3,1,33.33333333333333,28.749462827675128,28.749462827675128,16.064884349654545,3.9351156503454563,历史1/3次成功; 当前距低点3.94%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
13,57.34190107276991,48.650871585628494,002829,星网宇达,bottom_area,2023-08-01,30.9,2023-07-28,30.6,0.9803921568627357,2.7450980392156854,31.6506589233862,False,-0.5151,1.793,1,3,1,33.33333333333333,21.628131021194598,21.628131021194598,19.019607843137265,0.9803921568627357,历史1/3次成功; 当前距低点0.98%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
