rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.17638891125458,80.14927609703729,688010,福光股份,bottom_area,2022-09-23,20.25,2022-09-23,20.02,1.148851148851151,4.845154845154839,28.44889206576126,False,-2.2683,0.2111,1,1,1,100.0,42.08955223880597,42.08955223880597,18.85114885114885,1.148851148851151,历史1/1次成功; 当前距低点1.15%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
2,92.2209060243621,78.77240366826936,688199,久日新材,bottom_area,2022-09-23,34.57,2022-09-23,34.11,1.3485781295807706,3.840515977719151,28.098650927487352,False,-2.5099,0.6885,1,1,1,100.0,37.135278514588855,37.135278514588855,18.65142187041923,1.3485781295807706,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
3,92.2030561513539,78.38527459246632,300538,同益股份,bottom_area,2022-09-23,11.13,2022-09-23,11.01,1.0899182561307992,5.358764759309717,28.039215686274517,False,-3.2174,0.757,2,2,2,100.0,25.431657077658826,30.150753768844226,18.910081743869203,1.0899182561307992,历史2/2次成功; 当前距低点1.09%; 最新日涨幅-3.22%; 状态bottom_area; 底部未确认
4,91.80381375346482,78.22017592313497,002138,顺络电子,bottom_area,2022-09-23,20.88,2022-09-23,20.63,1.211827435773146,4.701890450799818,27.435807245867043,False,-2.9289,1.3882,1,1,1,100.0,32.49001331557922,32.49001331557922,18.788172564226855,1.211827435773146,历史1/1次成功; 当前距低点1.21%; 最新日涨幅-2.93%; 状态bottom_area; 底部未确认
5,91.56270666343897,78.08563838498802,688280,精进电动,bottom_area,2022-09-23,8.83,2022-09-23,8.72,1.26146788990825,5.045871559633022,30.683624801271854,False,-2.5386,1.6172,1,1,1,100.0,32.37518910741301,32.37518910741301,18.73853211009175,1.26146788990825,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-2.54%; 状态bottom_area; 底部未确认
6,91.14935262309082,78.80168674698797,002110,三钢闽光,bottom_area,2022-09-23,5.08,2022-09-21,4.98,2.0080321285140488,2.610441767068271,32.97442799461641,False,0.3953,0.2337,1,1,1,100.0,22.90322580645161,22.90322580645161,17.991967871485954,2.0080321285140488,历史1/1次成功; 当前距低点2.01%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
7,89.63123696215682,77.07247928498278,002516,旷达科技,bottom_area,2022-09-23,4.75,2022-09-23,4.67,1.713062098501072,5.139186295503217,29.1350531107739,False,-2.2634,0.8897,1,1,1,100.0,32.46376811594203,32.46376811594203,18.286937901498927,1.713062098501072,历史1/1次成功; 当前距低点1.71%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
8,89.60106562670984,77.08326969356654,000591,太阳能,bottom_area,2022-09-23,7.02,2022-09-19,6.9,1.7391304347825973,4.927536231884055,27.672955974842754,False,-2.2284,0.9467,1,1,1,100.0,32.84132841328414,32.84132841328414,18.2608695652174,1.7391304347825973,历史1/1次成功; 当前距低点1.74%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
9,89.21053546706219,76.43817392637331,300517,海波重科,bottom_area,2022-09-23,14.04,2022-09-23,13.83,1.5184381778741798,8.242950108459873,31.466798810703665,False,-5.8981,8.9526,1,1,1,100.0,36.88286544046467,36.88286544046467,18.481561822125823,1.5184381778741798,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-5.90%; 状态bottom_area; 底部未确认
10,89.11082953901064,77.4506732382996,603315,福鞍股份,bottom_area,2022-09-23,20.02,2022-09-19,19.57,2.2994379151762865,6.6428206438426205,29.324665944384254,False,-1.3793,0.4315,1,1,1,100.0,41.68490153172865,41.68490153172865,17.700562084823716,2.2994379151762865,历史1/1次成功; 当前距低点2.30%; 最新日涨幅-1.38%; 状态bottom_area; 底部未确认
11,88.68597883478792,80.23640608495221,300530,领湃科技,bottom_area,2022-09-23,27.88,2022-09-23,26.68,4.497751124437778,4.872563718140932,28.433476394849787,False,2.3871,1.3353,3,3,3,100.0,27.802573379948058,34.07510431154381,15.502248875562222,4.497751124437778,历史3/3次成功; 当前距低点4.50%; 最新日涨幅2.39%; 状态bottom_area; 底部未确认
