rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.84660142063437,80.37549152542373,688621,阳光诺和,bottom_area,2025-10-22,60.25,2025-10-14,59.0,2.11864406779661,8.322033898305078,31.355439208842352,True,-1.0023,1.5725,1,1,1,100.0,46.0,46.0,12.88135593220339,2.11864406779661,历史1/1次成功; 当前距低点2.12%; 最新日涨幅-1.00%; 状态bottom_area; 底部已确认
2,88.15940032139844,78.61633393075455,300056,中创环保,bottom_area,2025-10-22,10.52,2025-10-15,10.38,1.3487475915221463,8.188824662813097,29.001367989056074,True,-1.6822,2.2763,1,1,1,100.0,27.10472279260781,27.10472279260781,13.651252408477854,1.3487475915221463,历史1/1次成功; 当前距低点1.35%; 最新日涨幅-1.68%; 状态bottom_area; 底部已确认
3,81.88840527595713,73.98480737922107,002123,梦网科技,bottom_area,2025-10-22,12.45,2025-10-17,12.2,2.0491803278688527,2.8688524590164053,29.68299711815563,False,0.4843,1.5748,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,12.950819672131148,2.0491803278688527,历史2/3次成功; 当前距低点2.05%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
4,80.63073774005157,73.59465731985746,603305,旭升集团,bottom_area,2025-10-22,15.02,2025-10-17,14.64,2.59562841530054,5.669398907103825,27.881773399014776,False,0.0666,3.1234,4,6,4,66.66666666666666,24.333459355247438,32.41061130334487,12.40437158469946,2.59562841530054,历史4/6次成功; 当前距低点2.60%; 最新日涨幅0.07%; 状态bottom_area; 底部未确认
5,78.3013278406366,74.74217657515311,600706,曲江文旅,bottom_area,2025-10-22,10.29,2025-10-13,9.8,4.999999999999984,5.10204081632653,31.420573827851634,False,0.7835,3.2599,2,2,2,100.0,21.086970834156286,24.578313253012034,10.000000000000014,4.999999999999984,历史2/2次成功; 当前距低点5.00%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
6,76.58635912857945,71.15897934781398,688039,当虹科技,bottom_area,2025-10-22,50.74,2025-10-17,49.0,3.551020408163269,6.448979591836728,30.956742285472732,False,-1.3224,1.9466,5,7,5,71.42857142857143,35.1053311436126,79.31638913234006,11.44897959183673,3.551020408163269,历史5/7次成功; 当前距低点3.55%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
7,72.49083987796455,64.46094668117517,000700,模塑科技,bottom_area,2025-10-22,9.3,2025-10-17,9.19,1.1969532100108946,5.114254624591955,30.060882800608834,False,-0.7471,1.767,1,2,1,50.0,52.926829268292686,52.926829268292686,13.803046789989104,1.1969532100108946,历史1/2次成功; 当前距低点1.20%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
8,68.11194172977214,61.995461892971534,300563,神宇股份,bottom_area,2025-10-22,37.69,2025-10-17,36.79,2.446316933949439,7.039956509921183,28.563106796116504,False,-0.7374,3.0981,2,4,2,50.0,18.72615323858206,20.477137176938378,12.553683066050562,2.446316933949439,历史2/4次成功; 当前距低点2.45%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
9,65.19785806451613,62.04774193548387,002491,通鼎互联,bottom_area,2025-10-22,5.2,2025-10-13,4.96,4.8387096774193585,8.467741935483868,28.01161103047895,True,0.5803,1.7811,1,2,1,50.0,52.39520958083833,52.39520958083833,10.16129032258064,4.8387096774193585,历史1/2次成功; 当前距低点4.84%; 最新日涨幅0.58%; 状态bottom_area; 底部已确认
10,65.16559663661752,58.766137143292774,002453,华软科技,bottom_area,2025-10-22,6.8,2025-10-17,6.67,1.9490254872563704,5.6971514242878545,31.65983606557377,False,-2.9957,7.1211,1,2,1,50.0,28.60169491525425,28.60169491525425,13.050974512743629,1.9490254872563704,历史1/2次成功; 当前距低点1.95%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
11,63.973925069137444,58.52809866973495,300459,汤姆猫,bottom_area,2025-10-22,4.53,2025-10-17,4.41,2.721088435374152,4.081632653061218,29.326923076923077,False,0.0,1.7513,2,6,2,33.33333333333333,17.090575102444532,19.047619047619044,12.278911564625847,2.721088435374152,历史2/6次成功; 当前距低点2.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
12,59.690259439042975,53.58215064000851,002617,露笑科技,bottom_area,2025-10-22,8.36,2025-10-17,8.22,1.7031630170316152,5.596107055961059,29.743589743589734,False,-0.8304,2.2062,1,6,1,16.666666666666664,36.60589060308556,36.60589060308556,13.296836982968385,1.7031630170316152,历史1/6次成功; 当前距低点1.70%; 最新日涨幅-0.83%; 状态bottom_area; 底部未确认
13,55.3865833209779,48.73197190942421,688036,传音控股,bottom_area,2025-10-22,75.16,2025-10-20,74.69,0.6292676395769164,4.244209398848577,28.79885605338418,False,-1.7131,0.6642,1,4,1,25.0,19.148936170212753,19.148936170212753,14.370732360423084,0.6292676395769164,历史1/4次成功; 当前距低点0.63%; 最新日涨幅-1.71%; 状态bottom_area; 底部未确认
