rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.52665916136766,85.78214685511503,002600,领益智造,bottom_area,2022-09-30,4.45,2022-09-29,4.38,1.5981735159817416,4.109589041095884,29.240710823909538,False,0.6787,0.3493,3,3,3,100.0,22.07517457824405,38.381201044386415,8.401826484018258,1.5981735159817416,历史3/3次成功; 当前距低点1.60%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
2,91.22279707080418,85.02148754136924,002178,延华智能,bottom_area,2022-09-30,3.88,2022-09-30,3.83,1.305483028720622,2.349869451697124,29.724770642201836,False,0.7792,0.7879,3,3,3,100.0,14.397789499205718,17.359413202933986,8.694516971279379,1.305483028720622,历史3/3次成功; 当前距低点1.31%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
3,91.03121445396744,84.55319671044968,601778,晶科科技,bottom_area,2022-09-30,4.49,2022-09-29,4.44,1.1261261261261222,2.477477477477464,28.271405492730207,False,0.6726,0.7177,2,2,2,100.0,26.348195043103452,42.344827586206904,8.873873873873878,1.1261261261261222,历史2/2次成功; 当前距低点1.13%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
4,90.5836870601529,84.51452330596607,002157,正邦科技,bottom_area,2022-09-30,4.47,2022-09-30,4.41,1.360544217687066,2.721088435374152,29.326923076923077,False,0.0,1.0164,3,3,3,100.0,12.347118937056795,13.751169317118809,8.639455782312936,1.360544217687066,历史3/3次成功; 当前距低点1.36%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,89.37076166022663,82.86754033930872,000591,太阳能,bottom_area,2022-09-30,6.83,2022-09-30,6.76,1.0355029585798858,1.7751479289940846,29.140461215932913,False,0.1466,0.7525,1,1,1,100.0,32.84132841328414,32.84132841328414,8.964497041420115,1.0355029585798858,历史1/1次成功; 当前距低点1.04%; 最新日涨幅0.15%; 状态bottom_area; 底部未确认
6,84.88260927656177,79.67021643363341,002405,四维图新,bottom_area,2022-09-30,11.54,2022-09-29,11.35,1.674008810572683,4.0528634361233555,28.209993674889315,False,1.0508,1.0992,1,1,1,100.0,23.478260869565215,23.478260869565215,8.325991189427317,1.674008810572683,历史1/1次成功; 当前距低点1.67%; 最新日涨幅1.05%; 状态bottom_area; 底部未确认
7,84.83795228968819,80.20066490906656,000688,国城矿业,bottom_area,2022-09-30,16.43,2022-09-29,16.1,2.049689440993778,5.217391304347824,32.88870362651103,False,0.0,0.5787,1,1,1,100.0,30.935251798561143,30.935251798561143,7.950310559006223,2.049689440993778,历史1/1次成功; 当前距低点2.05%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,84.49396330941006,79.84740671641791,688010,福光股份,bottom_area,2022-09-30,19.59,2022-09-26,19.2,2.031250000000003,7.8125,31.379556826304505,True,-1.3595,0.1239,1,1,1,100.0,42.08955223880597,42.08955223880597,7.9687499999999964,2.031250000000003,历史1/1次成功; 当前距低点2.03%; 最新日涨幅-1.36%; 状态bottom_area; 底部已确认
9,84.37283036392728,77.68192494203328,300484,蓝海华腾,bottom_area,2022-09-30,10.6,2022-09-30,10.53,0.6647673314340009,2.564102564102577,30.950819672131153,False,0.0,1.5446,2,2,2,100.0,23.589217514531214,28.708133971291865,9.335232668566,0.6647673314340009,历史2/2次成功; 当前距低点0.66%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
10,84.15975651327601,77.00679665466723,300560,中富通,bottom_area,2022-09-30,11.81,2022-09-29,11.77,0.3398470688190393,4.078164825828381,28.88217522658611,False,0.0,0.72,2,2,2,100.0,15.976601997713122,20.94196804037006,9.660152931180962,0.3398470688190393,历史2/2次成功; 当前距低点0.34%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,84.06679506168538,76.4243591469867,688195,腾景科技,bottom_area,2022-09-30,24.34,2022-09-30,24.34,0.0,8.874281018898934,28.136994390315913,False,-5.8414,1.854,5,5,5,100.0,20.292253478423152,38.77410468319559,10.0,0.0,历史5/5次成功; 当前距低点0.00%; 最新日涨幅-5.84%; 状态bottom_area; 底部未确认
