code,name,latest_date,latest_close,current_stage,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,historical_valid_event_count
688077,大地熊,2023-05-24,26.27,bottom_area,2023-05-22,25.86,1.5854601701469457,3.3642691415313264,32.83116883116883,False,1
002245,蔚蓝锂芯,2023-05-24,10.82,bottom_area,2023-04-26,10.7,1.1214953271028132,8.317757009345799,29.512516469038214,False,3
300528,幸福蓝海,2023-05-24,8.52,bottom_area,2023-05-24,8.42,1.1876484560570029,5.463182897862243,30.64250411861615,False,1
001332,锡装股份,2023-05-24,43.04,bottom_area,2023-05-24,42.4,1.5094339622641524,2.287735849056601,32.290003193867776,False,2
002079,苏州固锝,2023-05-24,12.41,bottom_area,2023-05-10,12.11,2.477291494632541,5.6977704376548415,28.512396694214885,False,2
688289,圣湘生物,2023-05-24,18.3,bottom_area,2023-04-26,17.98,1.7797552836484998,12.45828698553948,27.058823529411757,False,1
002041,登海种业,2023-05-24,15.69,bottom_area,2023-05-19,15.41,1.817001946787796,5.12654120700843,27.311320754716977,False,1
600203,福日电子,2023-05-24,5.89,bottom_area,2023-05-15,5.63,4.618117229129659,8.348134991119,28.824273072060684,True,2
000629,钒钛股份,2023-05-24,4.12,bottom_area,2023-04-25,4.08,0.980392156862746,9.803921568627459,31.08108108108108,False,1
688075,安旭生物,2023-05-24,67.49,bottom_area,2023-05-10,64.65,4.392884764114446,7.6566125290023015,30.37906525953047,True,4
001201,东瑞股份,2023-05-24,24.32,bottom_area,2023-05-19,23.36,4.109589041095894,5.265410958904111,31.25367863449087,False,1
601369,陕鼓动力,2023-05-24,9.29,bottom_area,2023-05-10,9.05,2.651933701657441,7.182320441988933,32.31114435302916,True,2
300762,上海瀚讯,2023-05-24,11.9,bottom_area,2023-05-10,11.44,4.020979020979029,6.118881118881128,27.50316856780735,False,1
600160,巨化股份,2023-05-24,14.01,bottom_area,2023-05-19,13.41,4.474272930648767,6.040268456375843,29.606299212598426,False,1
301367,瑞迈特,2023-05-24,214.52,bottom_area,2023-05-16,205.21,4.536815944642075,10.131085229764627,31.34493141518902,True,1
300727,润禾材料,2023-05-24,26.37,bottom_area,2023-05-23,25.47,3.533568904593648,6.007067137809192,31.495427649273804,False,2
002405,四维图新,2023-05-24,11.35,bottom_area,2023-05-16,11.14,1.8850987432674962,4.039497307001789,27.75616083009079,False,1
601068,中铝国际,2023-05-24,5.4,bottom_area,2023-05-24,5.34,1.123595505617987,2.0599250936329647,28.704939919893196,False,1
002068,黑猫股份,2023-05-24,9.58,bottom_area,2023-05-10,9.3,3.010752688172036,7.95698924731181,28.953399541634827,True,1
300386,飞天诚信,2023-05-24,10.77,bottom_area,2023-05-17,10.4,3.5576923076923,5.86538461538461,29.72972972972973,False,1
000928,中钢国际,2023-05-24,8.51,bottom_area,2023-05-24,8.47,0.4722550177095531,3.187721369539546,30.45977011494252,False,1
002837,英维克,2023-05-24,26.79,bottom_area,2023-05-24,26.6,0.7142857142857056,2.969924812030072,27.063339731285986,False,1
000518,四环生物,2023-05-24,2.78,bottom_area,2023-04-25,2.68,3.731343283582076,9.328358208955223,27.956989247311824,True,1
688298,东方生物,2023-05-24,53.76,bottom_area,2023-05-19,52.05,3.2853025936599445,6.570605187319889,32.99433573635429,False,1
