rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.40430332716642,76.3213552704964,002826,易明医药,bottom_area,2025-07-10,17.97,2025-07-10,17.93,0.22308979364193612,2.844394868934755,29.158435401027262,False,-2.337,6.7826,1,1,1,100.0,50.0,50.0,14.776910206358062,0.22308979364193612,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-2.34%; 状态bottom_area; 底部未确认
2,87.35006332403856,78.64622775263422,000999,华润三九,bottom_area,2025-07-10,31.16,2025-06-23,30.59,1.8633540372670818,4.347826086956528,29.645814167433297,False,0.0964,0.3425,1,1,1,100.0,20.293951384963254,20.293951384963254,13.136645962732917,1.8633540372670818,历史1/1次成功; 当前距低点1.86%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
3,86.88204423505073,78.85778388464271,301348,蓝箭电子,bottom_area,2025-07-10,20.5,2025-07-07,20.04,2.295409181636731,5.289421157684642,29.036827195467417,False,0.3426,7.3435,1,1,1,100.0,26.727509778357234,26.727509778357234,12.704590818363268,2.295409181636731,历史1/1次成功; 当前距低点2.30%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
4,85.38529868525464,77.71305205738531,301108,洁雅股份,bottom_area,2025-07-10,24.32,2025-07-10,23.74,2.443133951137329,2.9486099410278133,30.605086232095886,False,2.4431,3.7738,1,1,1,100.0,22.383857343969968,22.383857343969968,12.55686604886267,2.443133951137329,历史1/1次成功; 当前距低点2.44%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
5,84.26884290956079,78.59761821588044,605198,安德利,bottom_area,2025-07-10,40.6,2025-06-20,39.13,3.756708407871195,6.95118834653718,29.748653500897664,False,0.5946,1.4203,1,1,1,100.0,43.241469816272954,43.241469816272954,11.243291592128804,3.756708407871195,历史1/1次成功; 当前距低点3.76%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
6,83.43028808580083,74.50932202027576,301397,溯联股份,bottom_area,2025-07-10,26.99,2025-07-10,26.61,1.428034573468617,2.630590003757983,28.602092836061182,False,-1.063,3.2418,1,1,1,100.0,15.18946692357096,15.18946692357096,13.571965426531381,1.428034573468617,历史1/1次成功; 当前距低点1.43%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
7,81.68390085755361,76.51471785040468,002041,登海种业,bottom_area,2025-07-10,9.91,2025-06-23,9.53,3.9874081846799663,4.826862539349432,29.719764011799416,False,0.0,0.8878,2,2,2,100.0,18.2043468358871,21.395106715252467,11.012591815320032,3.9874081846799663,历史2/2次成功; 当前距低点3.99%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,81.09276609038459,71.58612825775474,603928,兴业股份,bottom_area,2025-07-10,16.25,2025-07-10,16.12,0.8064516129032195,2.109181141439205,27.68057424854194,False,-0.975,5.3448,1,1,1,100.0,31.69267707082834,31.69267707082834,14.19354838709678,0.8064516129032195,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
9,81.0157730834122,75.69883135713708,002155,湖南黄金,bottom_area,2025-07-10,18.06,2025-06-30,17.39,3.8527889591719275,5.405405405405392,29.28019520130134,False,2.6136,2.9172,1,1,1,100.0,28.834355828220854,28.834355828220854,11.147211040828072,3.8527889591719275,历史1/1次成功; 当前距低点3.85%; 最新日涨幅2.61%; 状态bottom_area; 底部未确认
10,78.60340903809892,69.19272201786652,301076,新瀚新材,bottom_area,2025-07-10,26.12,2025-07-10,25.95,0.6551059730250547,3.159922928709057,28.11634349030471,False,-2.2455,5.7324,1,1,1,100.0,16.969696969696972,16.969696969696972,14.344894026974945,0.6551059730250547,历史1/1次成功; 当前距低点0.66%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
11,77.11835441095508,70.92274723155145,002371,北方华创,bottom_area,2025-07-10,329.83,2025-07-03,320.22,3.0010617700330884,6.648554119043146,28.602006688963204,False,-0.3986,0.6366,1,1,1,100.0,15.189075630252091,15.189075630252091,11.998938229966912,3.0010617700330884,历史1/1次成功; 当前距低点3.00%; 最新日涨幅-0.40%; 状态bottom_area; 底部未确认
12,74.26291574748802,68.65659172336923,300346,南大光电,bottom_area,2025-07-10,30.83,2025-06-13,29.85,3.283082077051916,8.576214405360117,27.513355998057303,True,-0.4521,1.609,2,3,2,66.66666666666666,36.15780748591896,46.69811320754715,11.716917922948083,3.283082077051916,历史2/3次成功; 当前距低点3.28%; 最新日涨幅-0.45%; 状态bottom_area; 底部已确认
13,73.90807441319218,64.71268707673674,002658,雪迪龙,bottom_area,2025-07-10,8.16,2025-07-10,8.13,0.3690036900368925,1.7220172201721868,29.05759162303665,False,-0.8505,9.1418,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,14.630996309963107,0.3690036900368925,历史2/3次成功; 当前距低点0.37%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
14,71.52817120993167,63.80735795454544,603022,新通联,bottom_area,2025-07-10,10.38,2025-07-10,10.24,1.3671875000000056,1.3671875000000056,31.869594145043244,False,0.0964,4.3401,1,2,1,50.0,26.099706744868023,26.099706744868023,13.632812499999995,1.3671875000000056,历史1/2次成功; 当前距低点1.37%; 最新日涨幅0.10%; 状态bottom_area; 底部未确认
15,63.89077606292175,58.97826651325011,000637,茂化实华,bottom_area,2025-07-10,4.19,2025-07-07,4.06,3.2019704433497735,4.187192118226622,27.370304114490168,False,0.2392,4.9398,1,2,1,50.0,22.627737226277358,22.627737226277358,11.798029556650226,3.2019704433497735,历史1/2次成功; 当前距低点3.20%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
16,60.19090074973818,53.04155028138624,600241,时代万恒,bottom_area,2025-07-10,8.48,2025-07-04,8.42,0.7125890736342102,4.2755344418052195,28.03418803418803,False,-1.1655,3.9868,1,2,1,50.0,22.50673854447439,22.50673854447439,14.28741092636579,0.7125890736342102,历史1/2次成功; 当前距低点0.71%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
