rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.26366888666074,81.8477550578984,603221,爱丽家居,bottom_area,2025-04-30,10.4,2025-04-24,10.29,1.0689990281827135,6.802721088435384,29.761092150170654,False,-2.7128,3.758,3,3,3,100.0,16.908993775026747,17.92336217552533,13.931000971817287,1.0689990281827135,历史3/3次成功; 当前距低点1.07%; 最新日涨幅-2.71%; 状态bottom_area; 底部未确认
2,87.79126925900839,76.75316955155776,002537,海联金汇,bottom_area,2025-04-30,6.95,2025-04-30,6.93,0.2886002886002953,6.06060606060606,28.85010266940452,False,-4.27,17.2686,3,3,3,100.0,30.006334460034605,39.33649289099527,14.711399711399704,0.2886002886002953,历史3/3次成功; 当前距低点0.29%; 最新日涨幅-4.27%; 状态bottom_area; 底部未确认
3,87.00279066460389,76.90346965027129,600371,万向德农,bottom_area,2025-04-30,9.21,2025-04-29,9.13,0.876232201533407,2.190580503833508,28.671874999999996,False,0.0,3.121,1,1,1,100.0,38.66279069767441,38.66279069767441,14.123767798466591,0.876232201533407,历史1/1次成功; 当前距低点0.88%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
4,86.3245305194805,75.7390909090909,301058,中粮科工,bottom_area,2025-04-30,10.5,2025-04-30,10.45,0.4784688995215379,2.6794258373205855,29.77150537634409,False,-2.2346,2.7706,1,1,1,100.0,57.794273594909875,57.794273594909875,14.52153110047846,0.4784688995215379,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-2.23%; 状态bottom_area; 底部未确认
5,85.0619215829036,78.57159564242231,300892,品渥食品,bottom_area,2025-04-30,32.22,2025-04-28,31.21,3.236142262095476,11.022108298622229,31.64695575996495,True,-1.6183,10.3803,1,1,1,100.0,78.87149917627676,78.87149917627676,11.763857737904523,3.236142262095476,历史1/1次成功; 当前距低点3.24%; 最新日涨幅-1.62%; 状态bottom_area; 底部已确认
6,84.1886877292993,76.50171510245893,002304,洋河股份,bottom_area,2025-04-30,68.6,2025-04-29,67.02,2.357505222321693,3.595941509997032,29.452631578947376,False,-0.3342,0.4009,2,2,2,100.0,20.62810220081931,20.781426953567394,12.642494777678307,2.357505222321693,历史2/2次成功; 当前距低点2.36%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
7,82.60016710946263,72.0293447238902,603169,兰石重装,bottom_area,2025-04-30,6.63,2025-04-29,6.62,0.1510574018126856,3.927492447129906,32.44897959183674,False,-0.8969,4.2809,3,4,3,75.0,30.208363440984503,49.872122762148344,14.848942598187314,0.1510574018126856,历史3/4次成功; 当前距低点0.15%; 最新日涨幅-0.90%; 状态bottom_area; 底部未确认
8,81.95794187624544,71.26777554456126,003003,天元股份,bottom_area,2025-04-30,12.44,2025-04-30,12.44,0.0,3.536977491961425,27.293980128579776,False,-9.9855,36.2112,2,2,2,100.0,25.90201905678097,31.377551020408173,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
9,71.23742338003186,62.539092717764156,000524,岭南控股,bottom_area,2025-04-30,11.82,2025-04-30,11.76,0.5102040816326573,3.31632653061225,29.832935560859198,False,-2.5556,3.6685,2,3,2,66.66666666666666,18.31016858720398,21.550094517958406,14.489795918367342,0.5102040816326573,历史2/3次成功; 当前距低点0.51%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
10,70.7732111847052,61.541922769308876,601086,国芳集团,bottom_area,2025-04-30,10.03,2025-04-30,10.03,0.0,9.272183449651063,29.860139860139867,False,-9.9641,10.3117,2,3,2,66.66666666666666,29.168043562592505,33.48946135831383,15.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-9.96%; 状态bottom_area; 底部未确认
11,70.45741025827569,61.38093273028717,605188,国光连锁,bottom_area,2025-04-30,10.1,2025-04-30,10.09,0.09910802775024566,8.721506442021813,29.24263674614306,False,-9.9019,5.217,2,3,2,66.66666666666666,17.259313800489593,19.218749999999993,14.900891972249756,0.09910802775024566,历史2/3次成功; 当前距低点0.10%; 最新日涨幅-9.90%; 状态bottom_area; 底部未确认
12,66.83228473512244,60.33293613719686,001299,美能能源,bottom_area,2025-04-30,10.68,2025-04-29,10.47,2.005730659025779,4.871060171919769,31.11842105263157,False,0.4704,9.1443,1,2,1,50.0,15.247322794492616,15.247322794492616,12.99426934097422,2.005730659025779,历史1/2次成功; 当前距低点2.01%; 最新日涨幅0.47%; 状态bottom_area; 底部未确认
13,66.01500422125848,61.05716261677625,600130,波导股份,bottom_area,2025-04-30,2.5,2025-04-30,2.42,3.305785123966945,4.5454545454545405,27.327327327327332,False,-1.9608,12.4774,2,4,2,50.0,24.216949996886484,28.301886792452823,11.694214876033055,3.305785123966945,历史2/4次成功; 当前距低点3.31%; 最新日涨幅-1.96%; 状态bottom_area; 底部未确认
14,57.63411688311688,50.11662337662338,002047,宝鹰股份,bottom_area,2025-04-30,1.66,2025-04-30,1.66,0.0,0.0,29.957805907173,False,-5.1429,0.1273,1,2,1,50.0,20.51948051948051,20.51948051948051,15.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-5.14%; 状态bottom_area; 底部未确认
15,54.10816439581617,47.306190476190494,002094,青岛金王,bottom_area,2025-04-30,6.92,2025-04-30,6.9,0.2898550724637619,7.246376811594203,28.719008264462804,False,-5.3352,26.6061,1,3,1,33.33333333333333,16.149068322981368,16.149068322981368,14.710144927536236,0.2898550724637619,历史1/3次成功; 当前距低点0.29%; 最新日涨幅-5.34%; 状态bottom_area; 底部未确认
