rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.3506989481584,83.04255450431918,603273,天元智能,bottom_area,2023-12-06,24.62,2023-12-01,24.31,1.275195392842461,8.144796380090499,27.389486260454,True,-1.0052,11.09,1,1,1,100.0,201.34228187919464,201.34228187919464,18.72480460715754,1.275195392842461,历史1/1次成功; 当前距低点1.28%; 最新日涨幅-1.01%; 状态bottom_area; 底部已确认
2,94.9946057582251,82.1428498039746,300637,扬帆新材,bottom_area,2023-12-06,10.61,2023-11-30,10.4,2.0192307692307603,8.17307692307692,27.221833449965004,True,0.6641,5.8505,1,1,1,100.0,31.810193321616865,31.810193321616865,17.98076923076924,2.0192307692307603,历史1/1次成功; 当前距低点2.02%; 最新日涨幅0.66%; 状态bottom_area; 底部已确认
3,89.54049414756025,75.79589712554147,688303,大全能源,bottom_area,2023-12-06,29.47,2023-12-06,29.22,0.8555783709787816,2.6351813826146464,31.11739745403112,False,0.4089,1.2579,1,1,1,100.0,32.45492371705965,32.45492371705965,19.14442162902122,0.8555783709787816,历史1/1次成功; 当前距低点0.86%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
4,89.4985022568585,74.87414749149785,300538,同益股份,bottom_area,2023-12-06,18.8,2023-12-06,18.76,0.21321961620468627,1.8123667377398713,28.39694656488549,False,-0.6867,4.6459,2,2,2,100.0,25.431657077658826,30.150753768844226,19.786780383795318,0.21321961620468627,历史2/2次成功; 当前距低点0.21%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
5,84.41255137268635,71.20876758642858,002142,宁波银行,bottom_area,2023-12-06,21.13,2023-12-06,20.99,0.6669842782277302,1.5721772272510808,27.81980742778542,False,-0.0473,0.5209,1,1,1,100.0,27.95425667090217,27.95425667090217,19.33301572177227,0.6669842782277302,历史1/1次成功; 当前距低点0.67%; 最新日涨幅-0.05%; 状态bottom_area; 底部未确认
6,83.07305300894757,74.14714863940407,600004,白云机场,bottom_area,2023-12-06,10.5,2023-10-23,10.12,3.7549407114624587,9.980237154150213,31.38983050847458,True,-0.9434,0.5263,1,1,1,100.0,32.57211538461537,32.57211538461537,16.24505928853754,3.7549407114624587,历史1/1次成功; 当前距低点3.75%; 最新日涨幅-0.94%; 状态bottom_area; 底部已确认
7,79.92791504821538,71.80794326241136,002137,实益达,bottom_area,2023-12-06,7.34,2023-11-30,7.05,4.113475177304965,5.6737588652482325,27.31958762886598,False,1.8031,8.902,2,3,2,66.66666666666666,55.55040286140998,89.3034825870647,15.886524822695037,4.113475177304965,历史2/3次成功; 当前距低点4.11%; 最新日涨幅1.80%; 状态bottom_area; 底部未确认
8,69.92068636693189,62.32198547617402,600328,中盐化工,bottom_area,2023-12-06,7.89,2023-10-26,7.61,3.6793692509855367,8.147174770039422,28.207547169811313,True,0.1269,0.6334,1,2,1,50.0,37.26315789473683,37.26315789473683,16.320630749014462,3.6793692509855367,历史1/2次成功; 当前距低点3.68%; 最新日涨幅0.13%; 状态bottom_area; 底部已确认
9,65.41756280248951,55.594327768770334,002331,皖通科技,bottom_area,2023-12-06,9.44,2023-12-04,9.34,1.0706638115631655,7.387580299785862,30.557620817843862,True,-5.8824,18.1793,1,3,1,33.33333333333333,21.247892074199,21.247892074199,18.929336188436835,1.0706638115631655,历史1/3次成功; 当前距低点1.07%; 最新日涨幅-5.88%; 状态bottom_area; 底部已确认
